论文题目,会议名称
 Bottom-up and top-down attention for image captioning and visual question answer-ing, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Trainable grammars for speech recognition, The Journal of the Acoustical Societyof America
 Lip-reading en-ables the brain to synthesize auditory features of unknown silent speech, Journal of Neuroscience
 Activation ofauditory cortex during silent lipreading, science
 The processing of audio-visual speech: empirical and neural bases, PhilosophicalTransactions of the Royal Society B: Biological Sciences
 Knowledge aided consistency for weakly supervisedphrase grounding, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 On certain formal properties of grammars, Information and control
 Unsupervisedlatent tree induction with deep inside-outside recursive autoencoders, In Proceedings of the An-nual Conference of the North American Chapter of the Association for Computational Linguistics(NAACL)
 Unsupervised parsing with s-diora: Single tree encoding for deep inside-outside recur-sive autoencoders, In Proceedings of the Conference on Empirical Methods in Natural LanguageProcessing (EMNLP)
 Con-trastive learning for weakly supervised phrase grounding, In European Conference on ComputerVision (ECCV)
 Dependency grammar induction with neural lexicalizationand big training data, In Proceedings of the 2017 Conference on Empirical Methods in NaturalLanguage Processing
 Mask r-cnn, In Proceedings oftheIEEE International Conference on Computer Vision (ICCV)
 Vlgrammar: Grounded grammar in-duction of vision and language, Proceedings of the IEEE International Conference on ComputerVision (ICCV)
" Introduction to automata theory, lan-guages, and computation", Acm Sigact News
 A survey on contrastive self-supervised learning, Technologies
 An efficient recognition and syntax-analysis algorithm for context-free languages,Coordinated Science Laboratory Report no
 Shared and modality-specific brain regions thatmediate auditory and visual word comprehension, ELife
 Compound probabilistic context-free grammars forgrammar induction, In Proceedings of the Annual Meeting of the Association for ComputationalLinguistics (ACL)
" Rush, Lei Yu, AdhigUna Kuncoro, Chris Dyer, and Gabor Melis", UnsU-pervised recurrent neural network grammars
 Zemel, Unifying visual-semantic embeddingswith multimodal neural language models
 Constituency parsing with a self-attentive encoder, In Proceedingsof the Annual Meeting of the Association for Computational Linguistics (ACL)
 What is learned in visu-ally grounded neural syntax acquisition, In Proceedings of the Annual Meeting of the Associationfor Computational Linguistics (ACL)
 Syntactic structure distillation pretraining for bidirectional encoders, Transactionsof the Association for Computational Linguistics (TACL)
 A derivation of the inside-outside algorithm from the EM algorithm, IBM TJWatson Research Center
 Microsoft coco: Common objects in context, In EuropeanConference on Computer Vision (ECCV)
 Learning cross-modal context graph for visualgrounding, In Proceedings of the AAAI Conference on Artificial Intelligence (AAAI)
 Relation-aware instance refinement for weaklysupervised visual grounding, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition (CVPR)
 Multimodal convolutional neural networks formatching image and sentence, In Proceedings of the IEEE International Conference on ComputerVision (ICCV)
 Probabilistic context-free grammars, In NLP course note
 Manning, Glove: Global vectors for wordrepresentation
 Deep contextualized word representations, In Marilyn A
 Flickr30k entities: Collecting region-to-phrase correspondences for richerimage-to-sentence models, IJCV
 Faster r-cnn: Towards real-time ob-ject detection with region proposal networks, In Workshop on Advances in Neural InformationProcessing Systems (NIPS)
 Groundingof textual phrases in images by reconstruction, In European Conference on Computer Vision(ECCV)
 Neural language modeling byjointly learning syntax and lexicon, In International Conference on Learning Representations(ICLR)
 Ordered neurons: Integratingtree structures into recurrent neural networks, International Conference on Learning Representa-tions (ICLR)
 Visually grounded neural syntax ac-quisition, In Proceedings of the Annual Meeting of the Association for Computational Linguistics(ACL)
 Unsupervised learning of stochastic and-or templates for ob-ject modeling, In 2011 IEEE International Conference on Computer Vision Workshops (ICCVWorkshops)
 Linguistically-informed self-attention for semantic role labeling, In Proceedings of the Conference on EmpiricalMethods in Natural Language Processing (EMNLP)
 Effective learning is accompanied by high-dimensional and efficientrepresentations of neural activity, Nature neuroscience
 Selective search for object recognition,International Journal of Computer Vision (IJCV)
 Improving weaklysupervised visual grounding by contrastive knowledge distillation, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition (CVPR)
 MAF: Multi-modal alignment framework for weakly-supervised phrase grounding, In Proceedings ofthe 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)
 Neural bi-lexicalized PCFG induction, In Proceed-ings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11thInternational Joint Conference on Natural Language Processing (Volume 1: Long Papers)
 End-to-end convolutional semantic embeddings,In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Recognition and parsing of context-free languages in time n3, Information andcontrol
 Video-aided un-supervised grammar induction, In Proceedings of the Annual Conference of the North AmericanChapter of the Association for Computational Linguistics (NAACL)
 Top-down tree long short-term memory networks,In Proceedings of the Annual Conference of the North American Chapter of the Association forComputational Linguistics (NAACL)
 Pyramid scene parsingnetwork, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Visually grounded compound PCFGs, In Proceedings ofthe 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)
 Reasoning visual dialogs withstructural and partial observations, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition (CVPR)
 The return of lexical dependencies: Neural lexicalizedpcfgs, Transactions of the Association for Computational Linguistics (TACL)
