论文题目,会议名称
 Dropout: Explicit forms andcapacity control, arXiv preprint arXiv:2003
 Few-shot text classification withdistributional signatures, In ICLR
 Rademacher and gaussian complexities: Risk bounds andstructural results, Journal of Machine Learning Research
 Concept learners for few-shot learning, In InternationalConference on Learning Representations
 Image deformationmeta-networks for one-shot learning, In Proceedings of the IEEE/CVF Conference on ComputerVision and Pattern Recognition
 A baseline forfew-shot image classification, 2020
 Meta-learning and universality: Deep representations and gradi-ent descent can approximate any learning algorithm, In International Conference on LearningRepresentations
 Model-agnostic meta-learning for fast adaptation ofdeep networks, In Proceedings of the 34th International Conference on Machine Learning-Volume70
 Probabilistic model-agnostic meta-learning, In NeurIPS
 Online meta-learning, InInternational Conference on Machine Learning
 Meta-learningwith warped gradient descent, International Conference on Learning Representations
 Few-shot learning with graph neural networks, In InternationalConference on Learning Representations
 Recasting gradient-based meta-learning as hierarchical bayes, In International Conference on Learning Representa-tions
 Towards understanding generalization in gradient-based meta-learning, arXiv preprint arXiv:1907
 Therapeutics data commons: Machine learningdatasets and tasks for therapeutics, arXiv preprint arXiv:2102
 Task agnostic meta-learning for few-shot learning, InProceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition
 Albert: A lite bert for self-supervised learning of language representations, arXiv preprintarXiv:1909
 Rdkit: Open-source cheminformatics software, 2016
 Gradient-based meta-learning with learned layerwise metric andsubspace, In International Conference on Machine Learning
 Difficulty-aware meta-learning for rare disease diagnosis, In International Conference on Medical ImageComputing and Computer-Assisted Intervention
 Meta-sgd: Learning to learn quickly for fewshot learning, arXiv preprint arXiv:1707
 Transductive propagation networkfor few-shot learning, In International Conference on Learning Representations
 Visualizing data using t-sne, JMLR
 Automated skin lesion classification using ensemble of deep neuralnetworks in isic 2018: Skin lesion analysis towards melanoma detection challenge, arXiv preprintarXiv:1901
 A simple neural attentive meta-learner, International Conference on Learning Representations
" News category dataset, 06 2018",Shikhar Murty
 Data augmentation formeta-learning, ICML
 Reptile: a scalable metalearning algorithm, arXiv preprintarXiv:1803
 {BOIL}: Towards representationchange for few-shot learning, In International Conference on Learning Representations
 Meta-curvature, In International Conference on Neural Informa-tion Processing Systems
 Prototypical clustering networks for dermatological disease diagnosis, arXiv preprintarXiv:1811
 Rapid learning or featurereuse? towards understanding the effectiveness of maml, In International Conference on LearningRepresentations
 Meta-learning requires meta-augmentation, InInternational Conference on Neural Information Processing Systems
 Meta-learning with implicitgradients, In Advances in Neural Information Processing Systems
 Meta-learning for semi-supervised few-shot classification,In ICLR
 Meta-learning with latent embedding optimization, In International Conferenceon Learning Representations
 Prototypical networks for few-shot learning, InAdvances in neural information processing systems
Learning to compare: Relation network for few-shot learning, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 Provable meta-learning of linear representations,arXiv preprint arXiv:2002
Regularizing meta-learning via gradient dropout, In Proceedings of the Asian Conference onComputer Vision
 Manifold mixup: Better representations by interpolatinghidden states, International Conference on Machine Learning
 Matching networks for oneshot learning, In Advances in neural information processing systems
 Bridging multi-task learning and meta-learning: Towardsefficient training and effective adaptation, 2021
 Meta-learningwithout memorization, In International Conference on Learning Representations
 Tapnet: Neural network augmented with task-adaptive projection for few-shot learning, In International Conference on Machine Learning
Cutmix: Regularization strategy to train strong classifiers with localizable features, In Proceedingsof the IEEE/CVF International Conference on Computer Vision
 mixup: Beyond empiricalrisk minimization, In International Conference on Learning Representations
 Fastcontext adaptation via meta-learning, In International Conference on Machine Learning
