title,year,conference
 Empirical evaluationof gated recurrent neural networks on sequence modeling,2014, CoRR
 Identifying and attacking the saddle point problem in high-dimensional non-convex op-timization,2014, CoRR
 Delving deep into rectifiers: Surpassinghuman-level performance on imagenet classification,2015, CoRR
 Improving neural networks by preventing co-adaptation of feature detectors,2012, CoRR
 Long short-term memory,0899, Neural Comput
 Adam: A method for stochastic oPtimization,2014, CoRR
 Gradient-based learning aPPlied to documentrecognition,0018, Proceedings of the IEEE
 Understanding the exPloding gradient Prob-lem,2012, CoRR
 Dynamics of on-line gradient descent learning for multi-layer neural networks,1996, Advances in neural information processing systems
 Bandwidth Selection in Kernel Density Estimation: A Review,1993, In COREand Institut de Statistique
 ADADELTA: an adaPtive learning rate method,2012, CoRR
