title,year,conference
 Learning with pseudo-ensembles,2014, In Advancesin Neural Information Processing Systems 27 (NIPS)
 Bagging predictors,1996, Machine Learning
 Lasagne:First release,2015,
 Dropout as a bayesian approximation: Representing modeluncertainty in deep learning,2016, CoRR
 Fractional max-pooling,2014, CoRR
 Delving deep into rectifiers: Surpassinghuman-level performance on imagenet classification,2015, CoRR
 Distilling the knowledge in a neural network,2015, CoRR
 Deep networks withstochastic depth,2016, CoRR
 In Proc,2017, International Conference on LearningRepresentations (ICLR)
 Adam: A method for stochastic optimization,2014, CoRR
 Semi-supervisedlearning with deep generative models,2014, In Advances in Neural Information Processing Systems 27(NIPS)
 Auxiliary deep gen-erative models,2016, CoRR
 Rectifier nonlinearities improve neural networkacoustic models,2013, In Proc
 All you need is a good init,2016, In Proc
 Distributionalsmoothing with virtual adversarial training,2016, In Proc
 Semi-supervised learning with generative adversarial networks,2016, Data EfficientMachine Learning workshop at ICML 2016
 Making neuralnetworks robust to label noise: a loss correction approach,2016, CoRR
 Semi-supervised learning with ladder networks,2015, In Advances in Neural Information Processing Systems28 (NIPS)
 Training deep neural networks on noisy labels with bootstrapping,2014, CoRR
 Mutual exclusivity loss for semi-superviseddeep learning,2016, In 2016 IEEE International Conference on Image Processing
 Regularization with stochastic transfor-mations and perturbations for deep semi-supervised learning,2016, In Advances in Neural InformationProcessing Systems 29 (NIPS)
 Weight normalization: A simple reparameterization toaccelerate training of deep neural networks,2016, CoRR
 Swapout: Learning an ensemble of deeparchitectures,2016, CoRR
 Unsupervised and semi-supervised learning with categorical generativeadversarial networks,2016, In Proc
 Strivingfor simplicity: The all convolutional net,2014, CoRR
 Trainingconvolutional networks with noisy labels,2014, CoRR
 Theano: A Python framework for fast computation of mathematicalexpressions,2016, CoRR
 80 million tiny images: A large data set for nonpara-metric object and scene recognition,2008, IEEE TPAMI
 Semi-supervised learning literature survey,2005, Technical Report 1530
