title,year,conference
 Nice: Non-linear independent components esti-mation,2014, arXiv preprint arXiv:1410
 Density estimation using real nvp,2016, arXivpreprint arXiv:1605
 Draw: A recurrent neural networkfor image generation,2015, In Proceedings of the 32nd International Conference on Machine Learning
 Towardsconceptual compression,2016, arXiv preprint arXiv:1604
 Neural machine translation in linear time,2016, arXiv preprint arXiv:1610
 Video pixel networks,2016, arXiv preprint arXiv:1610
 Auto-Encoding Variational Bayes,2013, Proceedings of the 2ndInternational Conference on Learning Representations
 Stochastic backpropagation and approxi-mate inference in deep generative models,2014, In ICML
 Deep unsuper-vised learning using nonequilibrium thermodynamics,2015, In Proceedings of the 32nd InternationalConference on Machine Learning
 Generative image modeling using spatial lstms,2015, In Advances inNeural Information Processing Systems
 Mixtures of conditional gaussian scale mix-tures applied to multiscale image representations,2012, PloS one
 Rnade: The real-valued neural autoregressivedensity-estimator,2013, In Advances in Neural Information Processing Systems
 Locally-connected transformations for deep gmms,2015, InInternational Conference on Machine Learning (ICML) : Deep learning Workshop
 Wavenet: A generative model forraw audio,2016, arXiv preprint arXiv:1609
 Conditional image generation with pixelcnn decoders,2016, arXiv preprintarXiv:1606
 Wide residual networks,2016, arXiv preprintarXiv:1605
