title,year,conference
 Computational Trade-offs in Statistical Learning,2012, PhD thesis
 Fast randomized kernel ridge regression withstatistical guarantees,2015, In Advances in Neural Information Processing Systems (NIPS)
 Theory of convex optimization for machine learning,2014, preprint
 Learning intermediate-level repreSentationS ofform and motion from natural movieS,2012, Neural computation
 Computational and StatiStical tradeoffSvia convex relaxation,2013, Proceedings of the National Academy of Sciences
 PathWise coordi-nate optimization,2007, The Annals of Applied Statistics
 Tradeoffs betWeenconvergence speed and reconstruction accuracy in inverse problems,2016, preprint
 Learning Fast Approximations of Sparse Coding,2010, InInternational Conference on Machine Learning (ICML)
 Statistical Learning withSparsity,2015, CRC Press
 Least angle and 1 penalizedregression: A revieW,2008, Statistics Surveys
 Smooth minimization of non-smooth functions,2005, Mathematical Programming
 Sharp time-data tradeoffs forlinear inverse problems,2015, preprint
 Learning Efficient StructuredSparse Models,2012, In International Conference on Machine Learning (ICML)
 Randomized sketches for kernels: Fastand optimal non-parametric regression,2015, preprint
