title,year,conference
 Multiple object recognition with viSualattention,2014, arXiv preprint arXiv:1412
 Neural machine tranSlation by jointlylearning to align and tranSlate,2014, arXiv preprint arXiv:1409
 Theano: new featureS andspeed improvements,2012, arXiv preprint arXiv:1211
 Models of overt attention,2011, Oxford handbook of eyemovements
 NeUral tUring machines,2014, arXiv preprintarXiv:1410
 Draw: A recUrrent neUral networkfor image generation,2015, arXiv preprint arXiv:1502
 A saliency-based search mechanism for overt and covert shifts ofvisUal attention,2000, Vision research
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Learning to combine foveal glimpses with a third-orderboltzmann machine,2010, In Advances in neural information processing systems
 Recurrent models of visual attention,2014, InAdvances in Neural Information Processing Systems
 Retinal ganglion cells that project to the dorsal lateral geniculatenucleus in the macaque monkey,1984, Neuroscience
 Information processing strategies and pathways in theprimate visual system,1995, An introduction to neural and electronic networks
