title,year,conference
 Seeing 3d chairs: exemplar part-based2d-3d alignment using a large dataset of cad models,2014, In CVPR
 Infogan:Interpretable representation learning by information maximizing generative adversarial nets,2016, arXiv
 Discovering hiddenfactors of variation in deep networks,2015, In Proceedings of the International Conference on LearningRepresentations
 Transformation properties of learned visual representations,2015, In ICLR
 Disentangling factors of variation via generativeentangling,2012, arXiv
 Tutorial on variational autoencoders,2016, arxiv
 Learning to linearize under uncertainty,2015, NIPS
 Transforming auto-encoders,2011, International Conferenceon Artificial Neural Networks
 An introduction tovariational methods for graphical models,1999, Machine learning
 Bayesian representation learning withoracle constraints,2016, ICLR
 Minima of Functions of Several Variables with Inequalities as Side Constraints,1939, Master’sthesis
 Adam: A method for stochastic optimization,2014, arXiv
 Auto-encoding variational bayes,2014, ICLR
 Nonlinear programming,1951, In Proceedings of 2nd Berkeley Symposium
 Deep convolutionalinverse graphics network,2015, NIPS
 Buildingmachines that learn and think like people,2016, arXiv
 Deep learning face attributes in the wild,2015, ICCV
 A 3d face model for pose andillumination invariant face recognition,2009, AVSS
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2015, arXiv
 Learning to disentangle factors ofvariation with manifold interaction,2014, ICML
 Stochastic backpropagation and approxi-mate inference in deep generative models,2014, arXiv
 A survey of inductive biases for factorial Representation-Learning,2016, arXiv
 High-dimensional probability estimation with deep densitymodels,2013, arXiv
 Learning factorial codes by predictability minimization,1992, Neural Computation
 Real-Time single image and video Super-Resolution using an efficientSub-Pixel convolutional neural network,2016, arXiv
 Tensor analyzers,2013, In Proceedings of the30th International Conference on Machine Learning
 Understandingvisual concepts with continuation learning,2016, arXiv
 Weakly-supervised disentangling withrecurrent transformations for 3d view synthesis,2015, NIPS
 Energy-based generative adversarial network,2016, arXiv
 Multi-view perceptron: a deep model for learning face identityand view representations,2014, In Advances in Neural Information Processing Systems 27
