title,year,conference
 Layer normalization,2016, NIPS
 Learningfeed-forward one-shot learners,2016, In NIPS
 Mixture density networks,1994, Technical report
 Gated feedback recurrentneural networks,2015, arXiv preprint arXiv:1502
 Hierarchical multiscale recurrent neural net-works,2016, arXiv preprint arXiv:1609
 Recurrent Batch Normaliza-tion,2016, arXiv:1603
 Dynamic filter networks,2016, InNIPS
 PredictingParameters in Deep Learning,2013, In NIPS
 Convolution by evolution: Differentiable pattern produc-ing networks,2016, In GECCO
 First-order versus second-ordersingle-layer recurrent neural networks,1994, IEEE Transactions on Neural Networks
 Generating sequences with recurrent neural networks,2013, arXiv:1308
 Orthogonal RNNs and long-memory tasks,2016, InICML
 Long short-term memory,1997, Neural Computation
 The human knowledge compression contest,2012, 2012
 Decoupled Neural Interfaces using Synthetic Gradients,2016, arXiv preprintarXiv:1608
 Grid long short-term memory,2016, In ICLR
 Adam: A method for stochastic optimization,2015, In ICLR
 Zoneout: Regular-izing RNNs by randomly preserving hidden activations,2016, arXiv preprint arXiv:1606
 IAM-OnDB - an on-line English sentence database acquired fromhandwritten text on a whiteboard,2005, In ICDAR
 Building a large annotatedcorpus of english: The penn treebank,1993, Computational linguistics
 ACDC: A StructuredEfficient Linear Layer,2015, arXiv preprint arXiv:1511
 Regularizing recurrent networks-on injected noise and norm-based methods,2014, arXiv preprint arXiv:1410
 Recurrent memory array structures,2016, arXiv preprint arXiv:1607
 Surprisal-driven feedback in recurrent networks,2016, arXiv preprint arXiv:1608
 A hypercube-based encoding forevolving large-scale neural networks,2009, Artificial Life
 Generating text with recurrent neural net-works,2011, In ICML
 On multi-plicative integration with recurrent neural networks,2016, NIPS
 Deep FriedConvnets,2015, In ICCV
 Deep recurrent models with fast-forward connections for neural machine translation,2016, CoRR
