title,year,conference
 Tree-structured decoding with doubly-recurrent neuralnetworks,2016, 2016
 Deep api pro-grammer: Learning to program with apis,2017, CoRR
 Language to logical form with neural attention,2016, CoRR
 Learning to learn programs from examples: Going beyond programstructure,2017, May 2017
 Neural turing machines,2014, CoRR
 Application of theorem proving to problem solving,1969, In Proceedings of the 1stInternational Joint Conference on Artificial Intelligence
 Spreadsheet data manipulation using exam-ples,2012, Commun
 Wikireading: A novel large-scale language understandingtask over wikipedia,2016, arXiv preprint arXiv:1608
 Inferring algorithmic patterns with stack-augmented recurrentnets,2015, In NIPS
 Neural gpus learn algorithms,2015, arXivpreprint arXiv:151L08228
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Latent predictor networks for code generation,2016, CoRR
 Effective approaches to attention-based neural machine translation,2015, arXiv preprint arXiv:1508
 Learninga natural language interface with neural programmer,2016, arXiv preprint arXiv:1611
 On-the-fly operation batching in dynamic com-putation graphs,2017, arXiv preprint arXiv:1705
 Abstract syntax networks for code generationand semantic parsing,2017, In ACL
 Neural programmer-interpreters,2015, arXiv preprintarXiv:1511
 Blinkfill: Semi-supervised programming by example for syntactic string transfor-mations,2016, PVLDB
 Pointer networks,2015, In NIPS
