title,year,conference
 Explaining and harnessing adversarialexamples,2015, international conference on learning representations
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, international conference on machine learning
 Adam: A method for stochastic optimization,2015, internationalconference on learning representations
 Variational dropout and the local reparame-terization trick,2015, neural information processing systems
 Understanding black-box predictions via influence functions,2017, arXivpreprint arXiv:1703
 Deep learning,2015, Nature
 Rectifier nonlinearities improve neural net-work acoustic models,2013, In Proc
 Distributionalsmoothing with virtual adversarial training,2016, international conference on learning representations
 Transformation invariance inpattern recognitiontangent distance and tangent propagation,1998, Neural networks: tricks of the trade
 Intriguing properties of neural networks,2014, international conference onlearning representations
 Fast dropout training,2013, pp
