title,year,conference
 All about VLAD,2013, In Proceedings of the IEEE conferenceon Computer Vision and Pattern Recognition
 Sequence stacking using dual encoder Seq2Seq recurrent networks,2018, The11th ACM International Conference on Web Search and Data Mining (International Workshop onHeterogeneous Networks Analysis and Mining)
 On the properties ofneural machine translation: Encoder-decoder approaches,2014, arXiv preprint arXiv:1409
 Deep filter banks for texture recognition and segmentation,2015, InIEEE Conference on Computer Vision and Pattern Recognition
 Natural neural networks,2015, In Advancesin Neural Information Processing Systems
 Deep Learning,2016, MIT Press
 Neural turing machines,2014, arXiv preprintarXiv:1410
 A kronecker-factored approximate fisher matrix for convolutionlayers,2016, In International Conference on Machine Learning
 Aggregating local descriptorsinto a comPact image rePresentation,2010, In Computer Vision and Pattern Recognition (CVPR)
 ADAM: A method for stochastic oPtimization,2014, arXiv preprintarXiv:1412
 ARA*: Anytime A* with provablebounds on sub-optimality,2004, In Advances in Neural Information Processing Systems
 Natural gradient revisited,2013, CoRR
 Deepwalk: Online learning of social representa-tions,2014, In Proceedings of the 20th ACM SIGKDD international conference on Knowledge discoveryand data mining
 Fisher kernels on visual vocabularies for image categorization,2006, In IEEEConference on Computer Vision and Pattern Recognition
 Deep geometric retrieval,2017, In Proceedings of the IEEEInternational Conference on Data Mining (Workshop on High Dimensional Data Mining)
 Optimised kd-trees for fast image descriptor matching,2008, InComputer Vision and Pattern Recognition
 Fisher Vector Faces in the Wild,2013, InBritish Machine Vision Conference
 Deep Fisher networks for large-scaleimage classification,2013, In Advances in neural information processing systems
 Deep fisher kernels-end to endlearning of the fisher kernel gmm parameters,2014, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 Line: Large-scaleinformation network embedding,2015, In Proceedings of the 24th International Conference on WorldWide Web
 A neural conversational model,2015, arXiv preprint arXiv:1506
 Pointer networks,2015, In Advances in NeuralInformation Processing Systems
