title,year,conference
 Locally consistent concept factorization for documentclustering,2011, IEEE Transactions on Knowledge and Data Engineering
 Deep learning with nonparametric clustering,2015, arXiv preprint arXiv:1501
 Diffusion maps,2006, Applied and computational harmonicanalysis
 Geometric harmonics: a novel tool for multiscale out-of-sample extension of empirical functions,2006, Applied and Computational Harmonic Analysis
 Deep unsupervised clustering with gaussian mixture varia-tional autoencoders,2016, arXiv preprint arXiv:1611
 Deep clustering via jointconvolutional autoencoder embedding and relative entropy minimization,2017, arXiv preprintarXiv:1704
 Spectral grouping using thenystrom method,2004, IEEE transactions on pattern analysis and machine intelligence
 Dimensionality reduction by learning an invariantmapping,2006, In Computer vision and pattern recognition
 Learningdiscrete representations via information maximizing self augmented training,2017, arXiv preprintarXiv:1702
 Diffusion nets,2017, Applied andComputational Harmonic Analysis
 Learning by coincidence: Siamese networks and common vari-able learning,2018, Pattern Recognition
 Understanding machine learning: From theory to algo-rithms,2014, Cambridge university press
 Normalized cuts and image segmentation,2000, IEEE Transactions onpattern analysis and machine intelligence
 Learning deep representations forgraph clustering,2014, In AAAI
 A tutorial on spectral clustering,2007, Statistics and computing
 Towards k-means-friendly spaces:Simultaneous deep learning and clustering,2017, International Conference on Machine Learning(ICML)
 Joint unsupervised learning of deep representationsand image clusters,2016, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Syncspeccnn: Synchronized spectral cnn for3d shape segmentation,2016, arXiv preprint arXiv:1612
 Variational deep embedding: Agenerative approach to clustering,2016, arXiv preprint arXiv:1611
