title,year,conference
 Optogenetic approaches toretinal prosthesis,2014, Visual neuroscience
 The structure and precision of retinal spiketrains,1997, Proceedings of the National Academy of Sciences
 Reading a neuralcode,1991, Science
 A simple white noise analysis of neuronal light responses,2001, Network: Computationin Neural Systems
 A thesaurus for a neural population code,2015, Elife
 Blindfold learning of an accurate neuralmetric,2017, arXiv preprint arXiv:1710
 Understanding the difficulty of training deep feedforward neuralnetworks,2010, In Proceedings of the Thirteenth International Conference on Artificial Intelligence andStatistics
 Dimensionality reduction by learning an invariantmapping,2006, In Computer vision and pattern recognition
 Interim resultsfrom the international trial of second sight’s visual prosthesis,2012, Ophthalmology
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Imagenet classification with deep convolu-tional neural networks,2012, In Advances in neural information processing systems
 A critical review of recurrent neural networksfor sequence learning,2015, arXiv preprint arXiv:1506
 What does the eye tell the brain?: Development ofa system for the large-scale recording of retinal output activity,2004, IEEE Transactions on NuclearScience
 Correlated firing of cat retinal ganglion cells,1983, i
 Electrical stimulus artifact cancellation and neuralspike detection on large multi-electrode arrays,2017, PLoS computational biology
 Deep metric learning via liftedstructured feature embedding,2016, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Spatio-temporal correlations and visual signalling in a complete neuronalpopulation,2008, Nature
 Facenet: A unified embedding for facerecognition and clustering,2015, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Cortical neural prosthetics,2004, Annu
 Model-based inference of nonlinear subunits underlyingresponses of primate retinal ganglion cells,2017, In Computational and Systems Neuroscience (CoSyNe)
 Online and batch learning of pseudo-metrics,2004, In Proc
 Very deep convolutional networks for large-scale imagerecognition,2014, arXiv preprint arXiv:1409
 Improved deep metric learning with multi-class n-pair loss objective,2016, In Advances inNeural Information Processing Systems
 Deep learning face representation by jointidentification-verification,2014, In Advances in neural information processing systems
 Deepface: Closing the gap tohuman-level performance in face verification,2014, In Proceedings of the IEEE conference on computervision and pattern recognition
 A novel spike distance,2001, Neural computation
 Spike train metrics,2005, Current opinion in neurobiology
 Learning fine-grained image similarity with deep ranking,2014, In Proceedings of theIEEE Conference on Computer Vision and Pattern Recognition
 Better speech recognition with cochlear implants,1991, Nature
 Subretinalelectronic chips allow blind patients to read letters and combine them to words,2011, Proceedings of theRoyal Society of London B: Biological Sciences
