title,year,conference
 Neural machine translation by jointlylearning to align and translate,2014, arXiv preprint arXiv:1409
 Estimating or propagating gradients throughstochastic neurons for conditional computation,2013, arXiv preprint arXiv:1308
 Skip rnn:Learning to skip state updates in recurrent neural networks,2017, arXiv preprint arXiv:1708
 Recurrent neural networkgrammars,2016, In NAACL
 Modeling human reading with neural attention,2016, In EMNLP
 Categorical reparameterization with gumbel-softmax,2017, InICLR
 Variable computation inrecurrent neural networks,2017, In ICLR
 Adam: A method for stochastic optimization,2015, In ICLR
 Structural attention neural networks for improvedsentiment analysis,2017, arXiv preprint arXiv:1701
 Segmental recurrent neural networks,2016, In ICLR
 The Psychology of Reading and Language Compre-hension,1987, 1987
 Adversarial training methods for semi-supervised text classification,2017, In ICLR
 Recurrent models of visual attention,2014, In NIPS
 Changing model behavior at test-timeusing reinforcement learning,2017, In ICLR Workshop
 Glove: Global vectors for wordrepresentation,2014, In EMNLP
 Xnor-net: Imagenetclassification using binary convolutional neural networks,2016, In ECCV
 The ez reader model of eye-movementcontrol in reading: Comparisons to other models,2003, Behavioral and brain sciences
 Bidirectional attentionflow for machine comprehension,2017, In ICLR
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine learning
 Learning to skim text,2017, In ACL
 Character-level convolutional networks for textclassification,2015, In NIPS
