title,year,conference
 Finite-time analysis of the multiarmed banditproblem,2002, Machine Learning
 Stochastic multi-armed-bandit problem with non-stationary rewards,2014, In Proceedings of the 27th Advances in Neural Information Processing Systems(NIPS)
 Regret analysis of stochastic and nonstochastic multi-armed bandit problems,2012, Foundations and Trends in Machine Learning
 Algorithm portfolios for noisy optimization:Compare solvers early,2014, In Learning and Intelligent Optimization
 Ensemble learning,2002, The handbook of brain theory and neural networks
 Pac bounds for multi-armed bandit and markovdecision processes,2002, In Proceedings of the 15th International Conference on ComputationalLearning Theory (COLT)
 Analyzing bandit-basedadaptive operator selection mechanisms,2010, Annals of Mathematics and Artificial Intelligence
 Learning dynamic algorithm portfolios,2006, Annals ofMathematics and Artificial Intelligence
 Algorithm selection as a bandit problem with unboundedlosses,2010, In Learning and Intelligent Optimization
 Automatedcurriculum learning for neural networks,2017, arXiv preprint arXiv:1704
 Reinforcement learning for turn-takingmanagement in incremental spoken dialogue systems,2016, In Proceedings of the 25th InternationalJoint Conference on Artificial Intelligence (IJCAI)
 Algorithm selection for combinatorial search problems: A survey,2012, arXiv preprintarXiv:1210
 Batch reinforcement learning,2012, In Reinforcementlearning
 A negotiation dialogue game,2016, In Proceedings of the 7thInternational Workshop on Spoken Dialogue Systems (IWSDS)
 Computationally feasible bounds for partially observed markov decisionprocesses,1991, Operational Research
 Playing atari with deep reinforcement learning,2013, arXiv preprintarXiv:1312
 Human-level controlthrough deep reinforcement learning,2015, Nature
 Safe and efficient off-policyreinforcement learning,2016, In Proceedings of the 29th Annual Conference on Neural InformationProcessing Systems (NIPS)
 Regret bounds for restless markovbandits,2012, In Proceedings of the 23rd International Conference on Algorithmic Learning Theory(ALT)
 Deep exploration viabootstrapped dqn,2016, In Proceedings of the 29th Advances in Neural Information Processing Systems(NIPS)
 The algorithm selection problem,1976, Advances in Computers
 Meta-learning in reinforcement learning,2003, Neural Networks
 Cross-disciplinary perspectives on meta-learning for algorithm selection,2009, ACMComputational Survey
 Learning to reinforcement learn,2016, CoRR
 Learning from Delayed Rewards,1989, PhD thesis
 Ensemble algorithms in reinforcement learning,2008, IEEETransactions on Systems
 γ is set to 0,1000,9
