title,year,conference
 Het-erogeneous network embedding via deep architectures,2015, In Proceedings of the 21th ACM SIGKDDInternational Conference on Knowledge Discovery and Data Mining
 Convolutional neural networkson graphs with fast localized spectral filtering,2016, In Advances in Neural Information ProcessingSystems
 Citeseer: An automatic citation indexingsystem,1998, In Proceedings of the third ACM conference on Digital libraries
 Understanding the difficulty of training deep feedforward neuralnetworks,2010, In Proceedings of the Thirteenth International Conference on Artificial Intelligenceand Statistics
 node2vec: Scalable feature learning for networks,2016, In Proceedingsof the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining
 Inductive representation learning on largegraphs,2017, arXiv preprint arXiv:1706
 Learning to represent knowledge graphs withgaussian embedding,2015, In Proceedings of the 24th ACM International on Conference on Informationand Knowledge Management
 Deep convolutional networks on graph-structureddata,2015, arXiv preprint arXiv:1506
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Semi-supervised classification with graph convolutional net-works,2016, arXiv preprint arXiv:1609
 Variational graph auto-encoders,2016, arXiv preprintarXiv:1611
 A tutorial on energy-basedlearning,2006, Predicting structured data
 Automating theconstruction of internet portals with machine learning,2000, Information Retrieval
 Efficient estimation of word represen-tations in vector space,2013, arXiv preprint arXiv:1301
 Geometric deep learning on graphs and manifolds using mixture model cnns,2016, arXivpreprint arXiv:1611
 Tri-party deep network repre-sentation,2016, Network
 Deepwalk: Online learning of social repre-sentations,2014, In Proceedings of the 20th ACM SIGKDD international conference on Knowledgediscovery and data mining
 ColUmn networks for collectiveclassification,2017, In AAAI
 Pte: Predictive text embedding throUgh large-scale hetero-geneoUs text networks,2015, In Proceedings of the 21th ACM SIGKDD International Conference onKnowledge Discovery and Data Mining
 Line: Large-scaleinformation network embedding,2015, In Proceedings of the 24th International Conference on WorldWide Web
 Word representations via gaUssian embedding,2014, arXiv preprintarXiv:1412
 Network representationlearning with rich text information,2015, In IJCAI
