title,year,conference
 Navigating Mobile Robots: Systems andTechniques,1568, A
 Estimating the absolute positionof a mobile robot using position probability grids,1996, In Proceedings of the national conference onartificial intelligence
 Integrating global positionestimation and position tracking for mobile robots: the dynamic markov localization approach,1998, InIntelligent Robots and Systems
 Transfer deep reinforcement learning in 3d environments: An empirical study,2016, In NIPSDeep Reinforcemente Leaning Workshop
 Cosine normalization: Using cosine similarity instead of dot productin neural networks,2017, arXiv preprint arXiv:1702
 Vidloc: 6-dofvideo-clip relocalization,2017, arXiv preprint arXiv:1702
 Vinet: Visual-inertialodometry as a SeqUence-to-SeqUence learning problem,2017, In AAAI
 Modeling a dynamic environment using a bayesian multiplehypotheSiS approach,1994, Artificial Intelligence
 Markov localization-a probabilistic framework for mobile robot localization and naviga-tion,1998, PhD thesis
 Bayesian filtering forlocation estimation,2003, IEEE pervasive computing
 A sUrvey of actor-criticreinforcement learning: Standard and natUral policy gradients,2012, IEEE Transactions on Systems
 Cognitivemapping and planning for visUal navigation,2017, arXiv preprint arXiv:1702
 Deep residUal learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Active global localization for a mobile robot Using mUltiplehypothesis tracking,2001, IEEE Transactions on Robotics and Automation
 Qmdp-net: Deep learning for planning Under partial ob-servability,2017, CoRR
 Viz-doom: A doom-based ai research platform for visUal reinforcement learning,2016, arXiv preprintarXiv:1605
 Posenet: A convolutional network for real-time6-dof camera relocalization,2015, In Proceedings of the IEEE international conference on computervision
 Siamese neural networks for one-shotimage recognition,2015, In ICML Deep Learning Workshop
 Actor-critic algorithms,1999, In NIPS
 Learning to navigate in complexenvironments,2016, In Proceedings of the 5th International Conference on Learning Representations2017
 Asynchronous methods for deep reinforcementlearning,2016, In International Conference on Machine Learning
 Neural map: Structured memory for deep reinforcementlearning,2017, arXiv preprint arXiv:1702
 High-dimensionalcontinuous control using generalized advantage estimation,2015, arXiv preprint arXiv:1506
 Airsim: High-fidelity visualand physical simulation for autonomous vehicles,2017, In Field and Service Robotics
 Estimating uncertain spatial relationships inrobotics,1990, In Autonomous robot vehicles
 Policy gradient meth-ods for reinforcement learning with function approximation,2000, In Advances in neural informationprocessing systems
 Temporal Credit Assignment in Reinforcement Learning,1984, PhD thesis
 Value iteration networks,2016, InAdvances in Neural Information Processing Systems
 Robust monte carlo localizationfor mobile robots,2001, Artificial intelligence
 Domainrandomization for transferring deep neural networks from simulation to the real world,2017, arXivpreprint arXiv:1703
 Deepvo: Towards end-to-end visualodometry with deep recurrent convolutional neural networks,2017, In Robotics and Automation (ICRA)
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine learning
