title,year,conference
 Seeing 3d chairs:exemplar part-based 2d-3d alignment using a large dataset of cad models,2014, In CVPR
 Infogan:Interpretable representation learning by information maximizing generative adversarial nets,2016, InAdvances in Neural Information Processing Systems
 Manifold rele-vance determination,2012, In Proceedings of the 29th International Conference on Machine Learning
 Unsupervised learning of disentangled representations fromvideo,2017, arXiv preprint arXiv:1705
 Censoring representations with an adversary,2015, arXiv preprintarXiv:1511
 beta-vae: Learning basic visual concepts with aconstrained variational framework,2016, 2016
 Image-to-image translation withconditional adversarial networks,2016, arXiv preprint arXiv:1611
 Learning to discovercross-domain relations with generative adversarial networks,2017, arXiv preprint arXiv:1703
 Unsupervised visual attribute transferwith reconfigurable generative adversarial networks,2017, arXiv preprint arXiv:1707
 Adam: A method for stochastic optimization,2014, CoRR
 Fader networks: Manipulating images by sliding attributes,2017, arXiv preprintarXiv:1706
 Cross-poseface recognition by canonical correlation analysis,2015, CoRR
 Mvc: A dataset for view-invariant clothingretrieval and attribute prediction,2016, In Proceedings of the 2016 ACM on International Conferenceon Multimedia Retrieval
 The variational fairautoencoder,2015, arXiv preprint arXiv:1511
 Disentangling factors of variation in deep representation using adversarial training,2016, InAdvances in Neural Information Processing Systems
 Conditional generative adversarial nets,2014, arXiv preprintarXiv:1411
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2015, arXiv preprint arXiv:1511
 Multi-view convo-lutional neural networks for 3d shape recognition,2015, In Proceedings of the IEEE internationalconference on computer vision
 Acoustic feature learning via deep variationalcanonical correlation analysis,2017, CoRR
 An inter-battery method of factor analysis,1860, Psychometrika
 Multi-view image generation from asingle-view,2017, arXiv preprint arXiv:1704
 Unpaired image-to-image translationusing cycle-consistent adversarial networks,2017, arXiv preprint arXiv:1703
