title,year,conference
 Apprenticeship learning via inverse reinforcement learning,2004, InICML
 Covariant policy search,2003, In IJCAI
 Policy search by dynamicprogramming,2004, In Advances in neural information processing systems
 An actor-critic algorithm for sequence prediction,2016, arXiv preprintarXiv:1607
 Learning to gatherinformation via imitation,2017, In Robotics and Automation (ICRA)
 Search-based structured prediction,2009, Machinelearning
 Truncatedapproximate dynamic programming with task-dependent terminal value,2016, In AAAI
 A natural policy gradient,2002, NIPS
 Approximately optimal approximate reinforcement learning,2002, InICML
 Continuous control with deep reinforcement learning,2015, arXivpreprint arXiv:1509
 Human-level control through deep reinforcement learning,2015, Nature
 Shaping and policy search in reinforcement learning,2003, PhD thesis
 Policy invariance under reward transformations:Theory and application to reward shaping,1999, In ICML
 Learning complex dexterous manipulation with deep reinforcement learning anddemonstrations,2017, arXiv preprint arXiv:1709
 Reinforcement and imitation learning via interactive no-regretlearning,2014, arXiv preprint arXiv:1406
 A reduction of imitation learning andstructured prediction to no-regret online learning,2011, In AISTATS
 Trust regionpolicy optimization,2015, In ICML
 High-dimensional continuous control using generalized advantage estimation,2016, ICLR
 Mastering the game of go with deep neural networks and tree search,2016, Nature
 Learning to filter with predictivestate inference machines,2016, In ICML
 Deeplyaggrevated: Differentiable imitation learning for sequential prediction,2017, 2017
 Learning to predict by the methods of temporal differences,1988, Machine Learning
 Leveraging demonstra-tions for deep reinforcement learning on robotics problems with sparse rewards,2017, arXiv preprintarXiv:1707
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine learning
 Subgrouping reduces complexity and speeds up learning in recurrent networks,1990, InAdvances in neural information processing systems
