title,year,conference
 A survey of robot learning fromdemonstration,2009, Robotics and autonomous Systems
 One-shot imitation learning,2017, arXiv preprint arXiv:1703
 Guided cost learning: Deep inverse optimal control via policyoptimization,2016, In International Conference on Machine Learning
 Reducing the number of queries in inter-active value iteration,2015, In International Conference on Algorithmic DecisionTheory
 Learning from demonstrations for real worldreinforcement learning,2017, arXiv preprint arXiv:1704
 Generative adversarial imitation learning,2016, In Advances in Neural InformationProcessing Systems
 Playing atari games with deep reinforcement learning and humancheckpoint replay,2016, arXiv preprint arXiv:1607
 Reinforcement learning with few expertdemonstrations,2016, 2016
 Nonlinear inverse reinforcement learning with gaussianprocesses,2011, In Advances in Neural Information Processing Systems
 Imitation from observation: Learning toimitate behaviors from raw video via context translation,2017, arXiv preprint arXiv:1707
 Key-value memory networks for directly reading documents,2016, arXiv preprint arXiv:1606
 Playing atari with deep reinforcement learning,2013, arXiv preprint arXiv:1312
 Algorithms for inverse reinforcement learning,2000, In Icml
 Bayesian inverse reinforcement learning,2007, Urbana
 Maximum margin planning,2006, In Proceedings ofthe 23rd international conference on Machine learning
 Third-person imitation learning,2017, arXiv preprintarXiv:1703
 Feudal networks for hierarchical reinforcement learning,2017, arXiv preprintarXiv:1703
 Maximum entropy inverse reinforce-ment learning,2008, In AAAI
