title,year,conference
 Learning phrase representations using rnn encoder-decoder for statisticalmaChine translation,2014, arXiv preprint arXiv:1406
 PrediCting parame-ters in deep learning,2013, CoRR
 Exploiting linear struCture withinConvolutional networks for effiCient evaluation,2014, CoRR
 ConvergenCe of batCh gradient learning with smoothing regular-ization and adaptive momentum for neural networks,2016, SpringerPlus
 Compressing lowpreCision deep neural networks using sparsity-induCed regularization in ternary networks,2017, arXiv preprintarXiv:1709
 Connectionist temporal classi-fiCation: labelling unsegmented sequenCe data with reCurrent neural networks,2006, In Proceedings of the 23rdinternational conference on Machine learning
 Optimal brain surgeon and general network pruning,1993, InNeural Networks
 Long short-term memory,0899, Neural Comput
 In-datacenter performance analysis of a tensorprocessing unit,2017, CoRR
 Exploring the limits oflanguage modeling,2016, CoRR
 Exploring theregularity of sparse structure in convolutional neural networks,2017, 05 2017
 Building a large annotated corpus ofenglish: The penn treebank,1993, Computational linguistics
 Exploring sparsity in recurrent neuralnetworks,2017, arXiv preprint arXiv:1704
 Group sparse regularization fordeep neural networks,2017, Neurocomputing
 Improving the speed of neural networks on cpus,2011, InDeep Learning and Unsupervised Feature Learning Workshop
 Learning structured sparsity in deep neuralnetworks,2016, In Advances in Neural Information Processing Systems
 Exploiting sparseness in deep neural networks for large vocabu-lary speech recognition,2012, In 2012 IEEE International Conference on Acoustics
 Model selection and estimation in regression with grouped variables,2006, 2006a
 Recurrent neural network regularization,2014, CoRR
