title,year,conference
 Diffusion-convolutional neural networks,2016, In Advances in NeuralInformation Processing Systems
 Geometricdeep learning: going beyond euclidean data,2017, IEEE Signal Processing Magazine
 Spectral networks and locallyconnected networks on graphs,2013, arXiv preprint arXiv:1312
 Convolutional neural networks ongraphs with fast localized spectral filtering,2016, In Advances in Neural Information Processing Systems
 A selective overview of variable selection in high dimensional featurespace,2010, Statistica Sinica
 A generalization of convolutional neuralnetworks to graph-structured data,2017, arXiv preprint arXiv:1704
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Imagenet classification with deep convolu-tional neural networks,2012, In Advances in neural information processing systems
 Projected gradient methods for nonnegative matrix factorization,2007, Neural computation
 Distributed representationsof words and phrases and their compositionality,2013, In Advances in neural information processingsystems
 Learning convolutional neural networksfor graphs,2016, In International Conference on Machine Learning
 The graph-tool python library,2014, figshare
 Deepwalk: Online learning of social representa-tions,2014, In Proceedings of the 20th ACM SIGKDD international conference on Knowledge discoveryand data mining
 Deep feature learning for graphs,2017, arXiv preprintarXiv:1704
 Discrete signal processing on graphs,2013, IEEE transactionson signal processing
 Thegraph neural network model,2009, IEEE Transactions on Neural Networks
