title,year,conference
 What regularized auto-encoders learn from the data generating distribu-tion,2013, In International Conference on Learning Representations (ICLR’2013)
 Segnet: A deep convolutional encoder-decoderarchitecture for image segmentation,2015, CoRR
 Segmentation and recognition usingstructure from motion point clouds,2008, In European Conference on Computer Vision (ECCV)
 Semantic imagesegmentation with deep convolutional nets and fully connected crfs,2015, 2015
 The importance ofskip connections in biomedical image segmentation,2016, CoRR
 Learning normalized inputs for iterative estimation in medicalimage segmentation,2017, CoRR
 Unrolling loopy top-down semantic feedback in convo-lutional deep networks,2014, In IEEE Conference on Computer Vision and Pattern Recognition (CVPR) workshop
 Highway and residual networks learn Un-rolled iterative estimation,2016, CoRR
 DeeP residual learning for image reCognition,2016, 2016IEEE COnerence on Computer Vision and Pattern Recognition (CVPR)
 Multiscale conditional random fields forimage labeling,2004, In Proceedings of the 2004 IEEE Computer Society Conference on Computer Vision andPattern Recognition
 Densely connected convolutionalnetworks,2016, CoRR
 The one hundredlayers tiramisu: Fully convolutional densenets for semantic segmentation,2017, In Workshop on Computer Visionin Vehicle Technology CVPRW
 Efficient inference in fully connected crfswith gaussian edge potentials,2011, 2011
 Iterative instance segmentation,2016, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 Amortised MAP in-ference for image super-resolution,2017, International Conference on Learning Representations
 SPeed of Processing in the human visual system,1996, Nature
 Multi-scale context aggregation by dilated convolutions,2016, 2016
 Augmenting suPervised neural networks with unsuPervisedobjectives for large-scale image classification,2016, In Proceedings of the 33nd International Conference onMachine Learning
 Conditional random fields as recurrent neural networks,2015, In InternationalConference on Computer Vision (ICCV)
