title,year,conference
 A brief survey of deepreinforcement learning,2017, arXiv preprint arXiv:1708
 Neuro-Dynamic Programming,1996, Athena Scientific
 OpenAI Gym,2016, arXiv preprint arXiv:1606
 Benchmarking deepreinforcement learning for continuous control,2016, In International Conference on Machine Learning(ICML)
 Reverse curriculum generationfor reinforcement learning,2017, arXiv preprint arXiv:1707
 Deep Learning,2016, MIT Press
 Reinforcement learning with time,1997, In AAAI Conference on Artificial Intelligence(AAAI)
 Deep learning,2015, Nature
 A survey of algorithmic methods for partially observed Markov decision pro-cesses,1991, Annals of Operations Research
 Revisiting the Arcade Learning Environment: Evaluation protocols and openproblems for general agents,2017, arXiv preprint arXiv:1709
 Deep learning in neural networks: An overview,2015, Neural Networks
 Proximal policyoptimization algorithms,2017, arXiv preprint arXiv:1707
 Learning to predict by the methods of temporal differences,1988, Machine Learning
 Reinforcement Learning: An Introduction,1998, MIT Press
 Algorithms for Reinforcement Learning,2010, Morgan and Claypool
 Learning to perceive and act by trial and error,1991, MachineLearning
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine Learning
