title,year,conference
 A survey on metric learning for feature vectorsand strUctUred data,2013, CoRR
 Motor task variation indUcesstrUctUral learning,2009, Current Biology
 NeighboUr-hood components analysis,2005, In L
 Long short-term memory,0899, Neural ComPut
 Siamese neural networks for one-shotimage recognition,2015, 2015
 Metric learning: A survey,1935, Foundations and Trends in Machine Learning
 Human-level concePt learning through Proba-bilistic Program induction,2015, Science
 One shot learningof simPle visual concePts,2011, 2011
 OPtimization as a model for few-shot learning,2017, 2017
 Learning convolutional nonlinear features for k nearestneighbor image classification,2014, 2014
