title,year,conference
 Wasserstein gan,2017, arXiv preprintarXiv:1701
 What’s the point: Semanticsegmentation with point supervision,2016, In ECCV
 Began: Boundary equilibrium generative adversarialnetworks,2017, arXiv preprint arXiv:1703
 The cityscapes dataset for semantic urbanscene understanding,2016, In CVPR
 Boxsup: Exploiting bounding boxes to supervise convolutionalnetworks for semantic segmentation,2015, In ICCV
 Imagenet: A large-scalehierarchical image database,2009, In CVPR
 Deep generative image models using alaplacian pyramid of adversarial networks,2015, In NIPS
 Generative adversarial nets,2014, In NIPS
 Deep residual learning for imagerecognition,2016, In CVPR
 Fcns in the wild: Pixel-level adversarialand constraint-based adaptation,2016, In arXiv preprint arXiv:1612
 Decoupled deep neural network for semi-supervised semantic segmentation,2015, In NIPS
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, In ICML
 Simple does it: Weakly supervisedinstance and semantic segmentation,2017, In CVPR
 Adam: A method for stochastic optimization,2014, In arXiv preprintarXiv:1412
 An adversarial regularisation for semi-supervisedtraining of structured output neural networks,2017, In arXiv preprint arXiv:1702
 Imagenet classification with deep convolu-tional neural networks,2012, In NIPS
 Photo-realistic singleimage super-resolution using a generative adversarial network,2016, In arXiv preprint arXiv:1609
 Generative face completion,2017, In CVPR
 Efficient piecewise training ofdeep structured models for semantic segmentation,2016, In CVPR
 Semantic Image Segmentationvia Deep Parsing Network,2015, In ICCV
 Fully convolutional networks for semanticsegmentation,2015, In CVPR
 Semantic segmentation usingadversarial networks,2016, In NIPS Workshop on Adversarial Training
 Rectifier nonlinearities improve neural networkacoustic models,2013, In ICML
 Multi-class generativeadversarial networks with the l2 loss function,2016, arXiv preprint arXiv:1611
 The Role of Context for Object Detection and Semantic Segmentationin the Wild,2014, In CVPR
 Weakly-and semi-supervised learning of a dcnn for semantic image segmentation,2015, In ICCV
 Fully convolutional multi-classmultiple instance learning,2015, In ICLR
 Weakly supervised semantic segmentation with convolutionalnetworks,2015, In CVPR
 Augmented feedback insemantic segmentation under image level supervision,2016, In ECCV
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2016, In ICLR
 Very deep convolutional networks for large-scale imagerecognition,2015, In ICLR
 A-fast-rcnn: Hard positive generation viaadversary for object detection,2017, In CVPR
 Multi-scale context aggregation by dilated convolutions,2016, In ICLR
 Pyramid scene parsingnetwork,2017, In CVPR
 Conditional random fields as recurrent neural networks,2015, InICCV
 Semanticunderstanding of scenes through the ade20k dataset,2017, In CVPR
