title,year,conference
 Deep learning with differential privacy,2016, In Proceedings of the 2016 ACM SIGSACConference on Computer and Communications Security
 Youtube-8m: A large-scale video classificationbenchmark,2016, arXiv preprint arXiv:1609
 Towards principled methods for training generative adversarialnetworks,2017, CoRR
 Mode regularized generativeadversarial networks,2016, CoRR
 ImageNet: A Large-Scale HierarchicalImage Database,2009, In CVPR09
 Deep models under the GAN: in-formation leakage from collaborative deep learning,2017,	CoRR
 Batch normalization: Accelerating deeP network training byreducing internal covariate shift,2015, CoRR
 Adam: A method for stochastic oPtimization,2014, arXiv preprintarXiv:1412
 Semantic segmentation usingadversarial networks,2016, CoRR
 Conditional generative adversarial nets,2014, CoRR
 Differential privacy preservation for deepauto-encoders: an application of human behavior prediction,2016, 2016
 Parameterisation of a stochastic model for human faceidentification,1994, In Applications of Computer Vision
 Privacy-preserving deep learning,2015, In Proceedings of the 22ndACM SIGSAC conference on computer and communications security
 Adagan: Boostinggenerative models,2017, 2017
 Instance normalization: The missing in-gredient for fast stylization,2016, arXiv preprint arXiv:1607
 Improving generative adversarial networks with denoisingfeature matching,2017, In International Conference on Learning Representations 2017 (ConferenceTrack)
 Stackgan: Text to photo-realistic image synthesis with stacked generative adver-sarial networks,2017, In The IEEE International Conference on Computer Vision (ICCV)
