title,year,conference
 Pattern recognition,2006, Machine Learning
 Back propagation fails to separate whereperceptrons succeed,1989, IEEE Transactions on Circuits and Systems
 Model compression,2006, In Proceedingsof the 12th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining
 Net2net: Accelerating learning via knowledgetransfer,2015, arXiv preprint arXiv:1511
 Identifying and attacking the saddle point problem in high-dimensional non-convexoptimization,2014, In Advances in neural information processing systems
 Deep learning,2016, MIT press
 Qualitatively characterizing neural networkoptimization problems,2014, arXiv preprint arXiv:1412
 On the problem of local minima in backpropagation,1992, IEEE Transactionson Pattern Analysis and Machine Intelligence
 Deep residual learning for imagerecognition,2015, arXiv preprint arXiv:1512
 Fully convolutional networks for semanticsegmentation,2015, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Fitnets: Hints for thin deep nets,2014, arXiv preprint arXiv:1412
 Very deep convolutional networks for large-scale imagerecognition,1989, arXiv preprint arXiv:1409
 Going deeper with convolutions,2014, arXivpreprint arXiv:1409
