title,year,conference
 TensorFlow: Large-scale machine learningon heterogeneous systems,2015, 2015
 Diffusion-convolutional neural networks,2016, In Advances in NeuralInformation Processing Systems (NIPS)
 Adam: A method for stochastic optimization,2015, In InternationalConference on Learning Representations
 Laplacian eigenmaps for dimensionality reduction and datarepresentation,2003, In Neural Computation
 Spectral networks and locally connected networkson graphs,2014, In International Conference on Learning Representations
 Convolutional neural networkson graphs with fast localized spectral filtering,2016, In Advances in Neural Information ProcessingSystems (NIPS)
 node2vec: Scalable feature learning for networks,2016, In Proceedings of the22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining
 Inductive representation learning on large graphs,2017, In NIPS
 Wavelets on graphs via spectral graphtheory,2011, In Applied and Computational Harmonic Analysis
 Deep residual learning for image recog-nition,2016, In IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Layer normalization,2016, In arxiv 1607
 Semi-supervised classification with graph convolutional networks,2017, InInternational Conference on Learning Representations
 Imagenet classification with deep convo-lutional neural networks,2012, In Advances in Neural Information Processing Systems
 Gradient-based learning applied to documentrecognition,1998, In Proceedings of the IEEE
 Improving distributional similarity with lessons learnedfrom word embeddings,2015, In Transactions of the Association for Computational Linguistics (TACL)
 Data analytics for optimal detection ofmetastatic prostate cancer,2017, 2017
 Distributed representations of wordsand phrases and their compositionality,2013, In Advances in Neural Information Processing Systems
 Glove: Global vectors for wordrepresentation,2014, In Conference on Empirical Methods in Natural Language Processing
 Deepwalk: Online learning of social representations,2014, InKnowledge Discovery and Data Mining
 Deeplearning via semi-supervised embedding,2012, In Neural Networks: Tricks ofthe Trade
 Revisiting semi-supervised learning with graph embed-dings,2016, In International Conference on Machine Learning (ICML)
 Semi-supervised learning using gaussian fieldsand harmonic functions,2003, In International Conference on Machine Learning (ICML)
