title,year,conference
 Kernel descriptors for visual recognition,2010, In NIPS
 Histograms of oriented gradients for human detection,2005, ComputerVision and Pattern Recognition
 Large-scale learning with svm and convolutional for generic objectcategorization,2006, In IEEE C
 Learning Multiple Layers of Features from Tiny Images,2009, Technical report
 Beyond bags of features: Spatial pyramidmatching for recognizing natural scene categories,0769, In Proc
 Buildinghigh-level features using large scale unsupervised learning,1053, Int
 Gradient-based learning applied todocument recognition,0018, Proceedings of the IEEE
 31th Int,2014, Conf
 Deep roto-translation scattering for object classifica-tion,2015, In Proc
 Opening the black box of deep neural networks via informa-tion,2017, arXiv:1703
 Very deep convolutional networks for large-scale imagerecognition,0950, CoRR
 Dis-covering objects and their location in images,2005, In Proc
 29th Int,1206, Conf
 Beyond spatial pyramids: Receptive field learning forpooled image features,2012, In IEEE Comp
