title,year,conference
 TensorFlow: Large-Scale Ma-chine Learning on Heterogeneous Systems,2016, arXiv preprint arXiv:1603
 Black boxvariational inference for state space models,2015, arXiv preprint arXiv:1511
 Learning Stochastic Recurrent Networks,2014, arXiv preprintarXiv:1411
 Mixture Density Networks,1994, Technical report
 Modeling Temporal De-pendencies in High-Dimensional Sequences: Application to Polyphonic Music Generation andTranscription,2012, In ICML
 Sequential Neural Modelswith Stochastic Layers,2016, In NIPS
 Bayesian Inference andLearning in Gaussian Process State-Space Models with Particle MCMC,2013, In NIPS
 Learning Nonlinear Dynamical Systems using an EMAlgorithm,1999, In NIPS
 DRAW:A Recurrent Neural Network For Image Generation,2015, In ICML
 Long Short-Term Memory,1997, Neural Computation
 ComPosing graPhical models with neural networks for structured rePresentations andfast inference,2016, In NIPS
 DeeP variationalBayes filters: UnsuPervised learning of state sPace models from raw data,2017, In ICLR
 Auto-Encoding Variational Bayes,2014, In ICLR
 Probabilistic Graphical Models: Principles and Techniques,2009, MITPress
 Deep Kalman Filters,2015, arXiv preprintarXiv:1511
 Structured Inference Networks for NonlinearState Space Models,2017, In AAAI
 Auto-Encoding SequentialMonte Carlo,2017, arXiv preprint arXiv:1705
 An efficient stochastic approximation EM algorithm using conditional particlefilters,2013, In ICASSP
 Filtering Variational Objectives,2017, In NIPS
 Hierarchical probabilistic neural network language model,2005, InAISTATS
 VariationalSequential Monte Carlo,2017, arXiv preprint arXiv:1705
 Learning visual motion in recurrent neural networks,2012, InNIPS
 Stochastic Backpropagation andApproximate Inference in Deep Generative Models,2014, In ICML
 Sequential Monte Carlo Methods for System Identification,2015, In IFACSymposium on System Identification (SYSID)
 Conditional markov processes,1960, Theory of Probability and Its Applications
 Latent LSTM Allocation: Joint Clusteringand Non-Linear Dynamic Modeling of Sequence Data,2017, In ICML
