title,year,conference
 An actor-critic algorithm for sequence Prediction,2016, arXiv preprintarXiv:1607
 Scheduled samPling for sequenceprediction with recurrent neural networks,2015, In NIPS
 Curriculum learning,2009, InICML
 High-dimensional sequencetransduction,2013, In ICASSP
 Maximum-likelihood augmented discrete generative adversarial networks,2017, CoRR
 A recurrent latent variable model for sequential data,2015, In Advances in neural informationprocessing systems
 Sequence transduction with recurrent neural networks,2012, CoRR
 Generating sequences with recurrent neural networks,2013, CoRR
 Trainable greedy decoding for neural machinetranslation,2017, In EMNLP
 Neural machine translation with gumbel-greedydecoding,2017, CoRR
 Im-proved training of wasserstein gans,2017, CoRR
 A neural representation of sketch drawings,2017, CoRR
 Convolutional neural networks for sentence classification,1746, In EMNLP
 GANS for sequences of discrete elements withthe gumbel-softmax distribution,2016, CoRR
 A greedy decoder for phrase-based statisticalmachine translation,2007, Proc
 Bleu: a method for automaticevaluation of machine translation,2002, In ACL
 Mastering the gameofgo with deep neural networks and tree search,2016, Nature
 Masteringthe game of go without human knowledge,2017, Nature
 Seqgan: Sequence generative adversarial netswith policy gradient,2017, In AAAI
 Generating text via adversarial training,2016, In NIPSWorkshop on Adversarial Training
