title,year,conference
 Neural optimizer search with reinforce-ment learning,2017, 2017
 Sobolev training for neural networks,2017, CoRR
 STARDATA: A starcraft AIresearch dataset,2017, CoRR
 Playing atari with deep reinforcement learning,2013, CoRR
 Asynchronous methods for deep reinforcementlearning,2016, 2016
 Multi-task learning with deep model based reinforcement learning,2016,	CoRR
 Actor-mimic: Deep multitask andtransfer reinforcement learning,2015, CoRR
 Mastering the game ofGo withdeep neural networks and tree search,0028, Nature
 Learning multiagent communication withbackpropagation,2016, CoRR
 Introduction to Reinforcement Learning,0262, MIT Press
 Starcraft II: A new challenge for reinforcementlearning,2017, CoRR
 Sample efficient actor-critic with experience replay,2016, CoRR
 FUnction optimization Using connectionist reinforcement learningalgorithms,1991, 1991
