title,year,conference
 Morphological Smoothing and Extrapolation ofWord Embeddings,2016, In Proceedings of the 54th Annual Meeting of the ACL
 Grounded Language Learning in a Simulated 3D World,2017, arXiv
 What Learning Systems do IntelligentAgents Need ? Complementary Learning Systems Theory Updated,1364, Trends in Cognitive Sciences
 BuildingMachines that learn and think like people,2017, Behavioral and Brain Sciences
 Multimodal Word Meaning Induction FromMinimal Exposure to Natural Text,1551, Cognitive Science
 Building a large annotatedcorpus of English: The Penn Treebank,1993, Computational Linguistics
 Human-level control through deep reinforcement learning,0028, Nature
 GloVe: Global Vectors for WordRepresentation,1049, Proceedings of the 2014 Conference on Empirical Methods in Natural LanguageProcessing
 Semantic Cognition: A Parallel Distributed ProcessingApproach,2004, MIT Press
 Learning and connectionist representations,1993, Attention andperformance XIV: Synergies in experimental psychology
 A simple neural network module for relational reasoning,2017, Arxiv
 Match-ing Networks for One Shot Learning,2016, 2016
