title,year,conference
 Neural module networks,2016, In CVPR
 Curriculum learning,2009, InProceedings ofthe 26th annual international conference on machine learning
 Clevr: A diagnostic dataset for compositional language and elementary visualreasoning,2017, In CVPR
 Jointly learning to parse and perceive: Connecting naturallanguage to the physical world,2013, TACL
 Inducing proba-bilistic ccg grammars from logical form with higher-order unification,2010, In EMNLP
 Jointly learning sentence embeddings and syntaxwith unsupervised tree-lstms,2017, CoRR
 The proper treatment of quantification in ordinary English,1973, In K
 Learning anatural language interface with neural programmer,2016, CoRR
 Learningvisual reasoning without strong priors,2017, CoRR
 Learning to map sentences to logical form: Structuredclassification with probabilistic categorial grammars,2005, UAI
