title,year,conference
 Latent structured models for human pose estima-tion,2011, In International Conference on Computer Vision
 ImageNet: A Large-Scale HierarchicalImage Database,2009, In CVPR09
 Unsupervised learning for physical interactionthrough video prediction,2016, In Advances in Neural Information Processing Systems
 Mobilenets: Efficient convolutional neural networks formobile vision applications,2017, CoRR
 Video pixel networks,2016, arXiv preprint arXiv:1610
 Microsoft COCO:common objects in context,2014, CoRR
 Deep predictive coding networks for video pre-diction and unsupervised learning,2017, In ICLR
 Deep multi-scale video prediction beyondmean square error,2016, In ICLR
 Modeling deep temporal dependencies with re-current ”grammar cells”,2014, In NIPS
 Structured recurrent tempo-ral restricted boltzmann machines,2014, In ICML
 Action-conditionalvideo prediction using deep networks in atari games,2015, In NIPS
 Deep visual analogy-making,2015, In C
 Very deep convolutional networks for large-scale image recogni-tion,2014, CoRR
 Unsupervised learning of videorepresentations using lstms,2015, In ICML
 The recurrent temporal restricted boltz-mann machine,2009, In NIPS
 Learningto generate long-term future via hierarchical prediction,2017, In Proceedings of the 34th InternationalConference on Machine Learning
