title,year,conference
 rmk-svd: An algorithm for designing overcompletedictionaries for sparse representation,2006, IEEE Transactions on signal processing
 Neural networks and principal component analysis: Learning from exampleswithout local minima,1989, Neural networks
 Unsupervised Learning by Predicting Noise,2017, In Proceedings of theInternational Conference on Machine Learning (ICML)
 Auto-association by multilayer perceptrons and singular value decomposi-tion,1988, Biological cybernetics
 Signal recovery from pooling representations,2013, arXiv preprintarXiv:1311
 Deep generative image models using a laplacian pyramidof adversarial networks,2015, In Advances in neural information processing systems
 Adversarial feature learning,2016, arXiv preprintarXiv:1605
 Generative adversarial nets,2014, 2014
 Learning to align from scratch,2012, In NIPS
 Globally and Locally Consistent Image Completion,2017, ACMTransactions on Graphics (Proc
 Adam: A method for stochastic optimization,2015, ICLR
 Auto-encoding variational bayes,2013, arXiv preprint arXiv:1312
 The pre-image problem in kernel methods,2004, IEEE transactions on neuralnetworks
 Gradient-based learning applied to documentrecognition,1998, Proceedings of the IEEE
 Deep learning,2015, Nature
 Diffusion distance for histogram comparison,2006, In Computer Vision and PatternRecognition
 Deep learning face attributes in the wild,2015, In ICCV
 Efficient estimation of word representations in vectorspace,2013, arXiv preprint arXiv:1301
 On lines and planes of closest fit to systems of points in space,1901, The London
 A parametric texture model based on joint statistics of complexwavelet coefficients,2000, Int
 Introduction to digital speech processing,2007, Foundations and Trendsin Signal Processing
 Improved techniquesfor training gans,2016, In Advances in Neural Information Processing Systems
 Generative compression,2017, arXiv
 Deep unsupervised learningusing nonequilibrium thermodynamics,2015, arXiv preprint arXiv:1503
 Kendall’s Advanced Theory of Statistics,2010, Wiley
 Face recognition using eigenfaces,1991, In Computer Vision and PatternRecognition
 Extracting and composing robust featureswith denoising autoencoders,2008, In Proceedings of the 25th international conference on Machinelearning
 Sun database: Large-scale scenerecognition from abbey to zoo,2010, In CVPR
 Visualizing and understanding convolutional networks,2014, In Europeanconference on computer vision
 Energy-based generative adversarial network,2016, arXiv preprintarXiv:1609
 Generative visual manipulation on thenatural image manifold,2016, In ECCV
