title,year,conference
 Probabilistic topic models,2012, Communications ofthe ACM
 Latent semantic analysis,2004, Annual review of information science and technology
 Discovering binary codes for documents by learningdeep generative models,2011, Topics in Cognitive Science
 Replicated softmax: an undirected topic model,2009, InAdvances in neural information processing systems
 Probabilistic latent semantic analysis,1999, In Proceedings of the Fifteenth conferenceon Uncertainty in artificial intelligence
 Latent semantic analysis,2006, Wiley Online Library
 Efficient estimation of word represen-tations in vector space,2013, arXiv preprint arXiv:1301
 Distributed representa-tions of words and phrases and their compositionality,2013, In C
 Wordnet: a lexical database for english,1995, Communications of the ACM
 Mixing dirichlet topic models and word embeddings to make lda2vec,2016, arXivpreprint arXiv:1605
 Universaldependencies v1: A multilingual treebank collection,2016, In LREC
 Introduction to modern information retrieval,1986, 1986
 Probabilistic topic models,2007, Handbook of latent semantic analysis
 User performance versus precision measures for simple searchtasks,2006, In Proceedings of the 29th annual international ACM SIGIR conference on Research anddevelopment in information retrieval
