title,year,conference
 Recurrent neural network language model trainingwith noise contrastive estimation for speech recognition,2015, In ICASSP
 Fast and robust neural networkjoint models for statistical machine translation,2014, In Proceedings of ACL
 Batch normalization: Accelerating deep network training by reducinginternal covariate shift,2015, In ICML
 Blackout: Speeding uprecurrent neural network language models with very large vocabularies,2016, ICLR
 Exploring the limits of languagemodeling,2016, arXiv preprint arXiv:1602
 Neural word embedding as implicit matrix factorization,2014, In Advances inNeural Information Processing Systems
 Divergence measures based on the shannon entropy,1991, IEEE Transactions on InformationTheory
 A simple language model based on pmi matrix approxi-mations,2017, In EMNLP
 Pointer sentinel mixturemodels,2016, arXiv preprint arXiv:1609
 A scalable hierarchical distributed language model,2008, In Advances inNeural Information Processing Systems
 A fast and simple algorithm for training neural probabilistic languagemodels,2012, In ICML
 A batch noise contrastive estimation approach for training large vocabularylanguage models,2017, In Interspeech
 Decoding with large-scale neural language modelsimproves translation,2013, In EMNLP
 Recurrent neural network regularization,2014, arXiv preprintarXiv:1409
