title,year,conference
 Transposable regularized covariance models with an appli-cation to missing data imputation,2010, The Annals of Applied Statistics
 Neural machine translation by jointlylearning to align and translate,2014, arXiv preprint arXiv:1409
 Representation learning: A review and newperspectives,2013, IEEE transactions on pattern analysis and machine intelligence
 Quickly generating representative samplesfrom an rbm-derived process,2011, Neural computation
 Tutorial on variational autoencoders,2016, arXiv preprint arXiv:1606
 Pixelvae: A latent variable model for natural images,2016, arXiv preprintarXiv:1611
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Learning multiple layers of features from tiny images,2009, 2009
 Imagenet classification with deep convo-lutional neural networks,2012, In Advances in neural information processing systems
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 Fully convolutional networks for semantic seg-mentation,2015, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2015, arXiv preprint arXiv:1511
 Stochastic backpropagation andapproximate inference in deep generative models,2014, arXiv preprint arXiv:1401
 Pixelcnn++: Improving thepixelcnn with discretized logistic mixture likelihood and other modifications,2017, arXiv preprintarXiv:1701
 A note on the evaluation of generativemodels,2015, arXiv preprint arXiv:1511
 Condi-tional image generation with pixelcnn decoders,2016, In Advances in Neural Information ProcessingSystems
 Extracting andcomposing robust features with denoising autoencoders,2008, In Proceedings of the 25th internationalconference on Machine learning
 Towards deeper understanding of variationalautoencoding models,2017, arXiv preprint arXiv:1702
