title,year,conference
 Neural photo editing With introspec-tive adversarial netWorks,2016, arXiv preprint arXiv:1609
 Infogan:Interpretable representation learning by information maximizing generative adversarial nets,2016, InAdvances in Neural Information Processing Systems
 Inverting the generator of a generative adversarialnetwork,2016, arXiv preprint arXiv:1611
 Adversarially learned inference,2016, arXiv preprint arXiv:1606
 Object-centric representation learning fromunlabeled videos,2016, Asian Conference on Computer Vision (ACCV)
 Explaining and harnessing adversarialexamples,2014, arXiv preprint arXiv:1412
 Identity mappings in deep residualnetworks,2016, In European Conference on Computer Vision
 Deep lerning for single-view instance recogni-tion,2016, IEEE International Conference on Robotics and Automation (ICRA)
 Image-to-image translation withconditional adversarial networks,2016, arXiv preprint arXiv:1611
 Spatial transformernetworks,2015, In Advances in Neeural Information Processing Systems (NIPS)
 A large-scale hierarchical multi-view rgb-dobject dataset,2011, In Robotics and Automation (ICRA)
 Learning methods for generic object recognition withinvariance to pose and lighting,2004, In Computer Vision and Pattern Recognition
 Conditional image synthesis with auxil-iary classifier gans,2016, arXiv preprint arXiv:1610
 Contextencoders: Feature learning by inpainting,2016, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2015, arXiv preprint arXiv:1511
 Bigbird: A large-scale 3d database of object instances,2014, In 2014 IEEE International Conference on Robotics andAutomation (ICRA)
 Unsupervised and semi-supervised learning with categorical generativeadversarial networks,2015, arXiv preprint arXiv:1511
 Extracting andcomposing robust features with denoising autoencoders,2008, In Proceedings of the 25th internationalconference on Machine learning
 Generative image modeling using style and structure adversar-ial networks,2016, In European Conference on Computer Vision
 Semanticimage inpainting with perceptual and contextual losses,2016, arXiv preprint arXiv:1607
 Active informa-tion selection: Visual attention through the hands,2009, IEEE Transactions on Autonomous MentalDevelopment 
 Generative adversarial networks asvariational training of energy based models,2016, arXiv preprint arXiv:1611
 DeeP learning rePresentationusing autoencoder for 3d shaPe retrieval,2016, Neurocomputing
