title,year,conference
 Augmented cyclegan: Learningmany-to-many mappings from unpaired data,2018, In ICML
 A theory of learningfrom different domains,1573, Machine Learning
 Unsupervised pixel-level domain adaptationwith generative adversarial networks,2017, In The IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Self-ensembling for visual domain adaptation,2018, In InternationalConference on Learning Representations (ICLR)
 Unsupervised domain adaptation by backpropagation,2014, arXiv preprintarXiv:1409
 TIMIT acoustic-phonetic continuous speech corpus LDC93S1,1993, Philadelphia: LinguisticData Consortium
 Fine-grained recognition in the wild: A multi-task domain adaptationapproach,2017, In 2017 IEEE International Conference on Computer Vision (ICCV)
 In Z,2014, Ghahramani
 Cross modal distillation for supervision transfer,2016, In Computer Vision andPattern Recognition (CVPR)
 Associative domain adaptation,2017, 2017 IEEE InternationalConference on Computer Vision (ICCV)
 Cross-modal adaptation for rgb-d detection,2016, InRobotics and Automation (ICRA)
 CyCADA: Cycle-consistent adversarial domain adaptation,2018, In Proceedings of the 35th International Conference on MachineLearning
 A multi-discriminator cyclegan for unsupervised non-parallelspeech domain adaptation,2018, In INTERSPEECH
 Unsupervised learning of disentangled and interpretable representationsfrom sequential data,2017, In NIPS
 Deep transfer metric learning,2015, In Computer Vision and Pattern Recognition (CVPR)
 Densely connected convolutional networks,2017, 2017IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Correcting sample selection bias byunlabeled data,2007, In Advances in neural information processing systems
 A database for handwritten text recognition research,1994, IEEE Trans
 Learning to discover cross-domain relations with generativeadversarial networks,2017, arXiv preprint arXiv:1703
 Semi-supervised learning with gans: Manifold invariance with improvedinference,2017, In Advances in Neural Information Processing Systems
 Coupled generative adversarial networks,2016, In Advances in neural information processingsystems
 Unsupervised image-to-image translation networks,2017, In Advances in NeuralInformation Processing Systems
 Few-shot adversarial domain adaptation,2017, In I
 Reading digits in natural images with unsuper-vised feature learning,2011, NIPS Workshop on Deep Learning and Unsupervised Feature Learning 2011
 Improving language understanding by gener-ative pre-training,2018, 2018
 U-Net: Convolutional networks for biomedical image segmentation,2015, InMICCAI
 A DIRT-t approach to unsupervised domain adaptation,2018, In InternationalConference on Learning Representations (ICLR)
 Semi-supervised conditional gans,2017, arXivpreprint arXiv:1708
 Simultaneous deep transfer across domains and tasks,2015, InComputer Vision (ICCV)
 Adversarial discriminative domain adaptation,2017, In ComputerVision and Pattern Recognition (CVPR)
 Wavenet: A generative model for raw audio,2016, In SSW
 Topic-bridged plsa for cross-domain text classification,2008, In Proceedingsof the 31st annual international ACM SIGIR conference on Research and development in information retrieval
 Improving end-to-end speech recognition with policy learning,2017, arXiv preprintarXiv:1712
 Unpaired image-to-image translation using cycle-consistentadversarial networks,2017, In Computer Vision (ICCV)
