title,year,conference
 Federated meta-learning for recommen-dation,2018, arXiv Preprint arXiv:1802
 Xception: Deep learning with depthwise separable convolutions,2017, In The IEEEConference on CompUter Vision and Pattern Recognition (CVPR)
 ImageNet: A Large-Scale HierarchicalImage Database,2009, In CVPR09
 Decaf: A deep convolutional activation feature for generic visual recognition,2014, In Eric P
 Model-agnostic meta-learning for fast adaptationof deep networks,2017, arXiv preprint arXiv:1703
 Mobilenets: Efficient convolutional neural networks formobile vision applications,2017, CoRR
 3d object representations for fine-grained categorization,2013, In Proceedings of the IEEE International COnferenCe on COmpUter ViSiOnWorkShops
 Learning multiple layers of features from tiny images,2009, Technical report
 Imagenet classification withdeep convolutional neural networks,2012, In AdVanceS in Neural InfOrmatiOn ProcessingSyStemS 25: 26th Annual COnference on Neural InfOrmatiOn Processing SyStemS2012
 Revisiting batch normal-ization for practical domain adaptation,2016, CoRR
 Microsoft coco: Common objects in context,2014, In EurOpeanconference on computer vision
 Ssd: Single shot multibox detector,2016, In EurOPean COnferenCe on COmPutervision
 Shufflenet v2: Practical guidelines forefficient cnn architecture design,2018, arXiv PrePrint arXiv:1807
 Fine-grainedvisual classification of aircraft,2013, arXiv PrePrint arXiv:1306
 Reptile: a scalable metalearning algorithm,2018, arXiv PrePrintarXiv:1803
 Intriguing properties of randomly Weighted netWorks:Generalizing while learning next to nothing,2018, CoRR
 Very deep convolutional networks for large-scale imagerecognition,2014, CoRR
 Approximation algorithms for cascading prediction models,2018, In ICML
 Rethink-ing the inception architecture for computer vision,2016, In Proceedings of the IEEE COnferenCe onCOmPuter ViSiOn and Pattem recognition
 Shufflenet: An extremely efficientconvolutional neural network for mobile devices,2017, CoRR
 Places: A 10million image database for scene recognition,2017, IEEE transactions on Pattern analysis and machineintelligence
