title,year,conference
 Hindsight experience replay,2017, In Advances in Neural InformationProcessing Systems
 Learning parameterized skills,2012, In Proceedings ofInternational Conference of Machine Learning
 Multi-task policy search for robotics,2014, In IEEEInternational Conference on Robotics and Automation
 Benchmarking deep reinforcementlearning for continuous control,2016, In Proceedings of International Conference on Machine Learning
 Divide-and-conquer reinforcementlearning,2018, In International Conference on Learning Representations
 Factored contextual policy search with bayesianoptimization,2016, arXiv preprint arXiv:1612
 Adam: A method for stochastic optimization,2014, In Proceedings of the 3rdInternational Conference on Learning Representations
 Reinforcement learning to adjust parametrized motorprimitives to new situations,2012, Autonomous Robots
 Hierarchical deep reinforcement learn-ing: Integrating temporal abstraction and intrinsic motivation,2016, In Advances in Neural InformationProcessing Systems
 Data-efficient generalization of robotskills with contextual policy search,2013, In Proceedings of the 27th AAAI Conference on ArtificialIntelligence
 Hierarchical actor-critic,2017, arXiv preprint arXiv:1712
 Continuouscontrol with deep reinforcement learning,2016, ICLR
 Bayesian optimization for contextual policy search,2015, InProceedings of the Second Machine Learning in Planning and Control of Robot Motion Workshop
 Human-level control through deep reinforcementlearning,2015, Nature
 Safe and efficient off-policy rein-forcement learning,2016, In Advances in Neural Information Processing Systems
 Rectified linear units improve restricted boltzmann machines,2010, In ICML
 Zero-shot visual imitation,2018, In International Conference on LearningRepresentations
 Learning from scarce experience,2002, In Proceedings of the NineteenthInternational Conference on Machine Learning
 Reinforcement learning of motor skills with policy gradients,2008, Neural networks
 Multi-goal reinforcement learning: Challenging roboticsenvironments and request for research,2018, arXiv preprint arXiv:1802
 Eligibility traces for off-policy policy evaluation,2000, InInternational Conference on Machine Learning
 Universal value function approximators,2015, InProceedings of the International Conference on Machine Learning
 Learning to Generate Focus Trajectories for Attentive Vision,1990, Institutfur Informatik
 Intrinsic motivationand automatic curricula via asymmetric self-play,2018, In International Conference on LearningRepresentations
 Reinforcement Learning: An Introduction,1998, Bradford Book
 Policy gradient methods for reinforcementlearning with function approximation,1999, In Advances in Neural Information Processing Systems 12
 Safe reinforcement learning,2015, PhD thesis
 High confidence policy improvement,2015, InInternational Conference on Machine Learning
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine learning
 Target-driven visualnavigation in indoor scenes using deep reinforcement learning,2017, In IEEE International Conferenceon Robotics and Automation
 The input to such a policy is a pair composed of state and goal,2014, A baseline function isrepresented by a feedforward neural network with a single (linear) output neuron
