title,year,conference
 Emergent com-plexity via multi-agent competition,2017, arXiv preprint arXiv:1710
 Spectral networks and locallyconnected networks on graphs,2014, ICLR
 Bayesian optimization forlearning gaits under uncertainty,2016, Annals of Mathematics andArtificial Intelligence
 Deep reinforcement learn-ing in a handful of trials using probabilistic dynamics models,2018, arXiv preprint arXiv:1805
 Empirical evaluation ofgated recurrent neural networks on sequence modeling,2014, arXiv preprint arXiv:1412
 Convolutional neural networks ongraphs with fast localized spectral filtering,2016, In NIPS
 Aggres-sive deep driving: Combining convolutional neural networks and model predictive control,2017, InConference on Robot Learning
 of the Harmonic Drive Intl,2001, Symposium
 Convolutional networks on graphs for learning molecularfingerprints,2015, In NIPS
 Dropout as a bayesian approximation: Representing modeluncertainty in deep learning,2016, In international conference on machine learning
 Fine grained artificial development for body-controller coevolution of soft-bodied animats,2014, Artificial life
 Imagenet classification with deep convolu-tional neural networks,2012, In Advances in neural information processing systems
 Artificial life: An overview,1997, Mit Press
 An evolutionary system for automatic robot design,1998, In Systems
 Gated graph sequence neuralnetworks,2015, arXiv preprint arXiv:1511
 Hi-erarchical representations for efficient architecture search,2017, arXiv preprint arXiv:1711
 Genetic algorithms and artificial life,1994, Artificial life
 Playing atari with deep reinforcement learning,2013, arXiv preprintarXiv:1312
 Asynchronous methods for deep reinforcementlearning,2016, In International Conference on Machine Learning
 Neural network dynam-ics for model-based deep reinforcement learning with model-free fine-tuning,2017, arXiv preprintarXiv:1708
 Efficient neural architecturesearch via parameter sharing,2018, arXiv preprint arXiv:1802
 Towards gen-eralization and simplicity in continuous control,2017, In Advances in Neural Information ProcessingSystems
 Proximal policyoptimization algorithms,2017, arXiv preprint arXiv:1707
 Evolving virtual creatures,1994, In Proceedings of the 21st annual conference on Computergraphics and interactive techniques
 Practical bayesian optimization of machinelearning algorithms,2012, In Advances in neural information processing systems
 The artificial life roots of artificial intelligence,1993, Artificial life
 Synthesis and stabilization of complex behaviorsthrough online trajectory optimization,2012, In Intelligent Robots and Systems (IROS)
 Deepmind control suite,2018, arXiv preprintarXiv:1801
 Evolution in virtual worlds,2017, arXiv preprint arXiv:1710
 Regularization of neuralnetworks using dropconnect,2013, In International Conference on Machine Learning
 Nervenet: Learning structured policy withgraph neural networks,2018, In ICLR
 Neural architecture search with reinforcement learning,2016, arXiv preprintarXiv:1611
