title,year,conference
 Training a 3-node neural network is NP-complete,1988, In Proc
 SAGA: A fast incremental gradient method with supportfor non-strongly convex composite objectives,2014, In Proc
 Accelerated gradient methods for nonconvex nonlinear and stochasticprogramming,2016, Mathematical Programming
 Mini-batch stochastic approximation methods for nonconvexstochastic composite optimization,2016, Mathematical Programming
 Adam: A method for stochastic optimization,2014, Proc
 Learning multiple layers of features from tiny images,2009, Technical report
 Imagenet classification with deep convolutional neuralnetworks,2017, Communications of the ACM
 An optimal method for stochastic composite optimization,2012, Mathematical Programming
 Gradient-based learning applied to documentrecognition,1998, Proceedings of the IEEE
 Convergence analysis of proximal gradient withmomentum for nonconvex optimization,2017, In Proc
 Taylor expansion of the accumulated rounding error,1976, Numerical Mathematics
 Non-asymptotic analysis of stochastic approximation algorithms formachine learning,2011, In Proc
 A generic approachfor escaping saddle points,2018, In Proc
 On the convergence of Adam and beyond,2018, In Proc
 A stochastic approximation method,1951, The Annals of Mathematical Statistics
 Low-rank solutions of linearmatrix equations via Procrustes flow,2016, In Proc
 SpiderBoost: A class of faster variance-reducedalgorithms for nonconvex optimization,2018, ArXiv:1810
 Sample complexity of stochastic variance-reduced cubicregularization for nonconvex optimization,2018, ArXiv:1802
 Understanding deep learning requiresrethinking generalization,2017, In Proc
 Recovery guarantees for one-hidden-layerneural networks,2017, In Proc
 Characterization of gradient dominance and regularity conditions for neuralnetworks,2017, ArXiv:1710
 Critical points of linear neural networks: Analytical forms and landscapeproperties,2018, In Proc
 Geometrical properties and accelerated gradient solvers of non-convex phase retrieval,2016, In Proc
 Convergence of cubic regularization for nonconvex optimizationunder KL property,2018, In Proc
