title,year,conference
 Neural machine translation by jointlylearning to align and translate,2015, In International Conference on Learning Representations (ICLR)
 Practical recommendations for gradient-based training of deep architectures,2012, InGregoire Montavon
 Extending persistence using Poincareand Lefschetz duality,2009, Foundations of Computational Mathematics
 Lipschitz functionshave Lp-stable persistence,2010, Foundations of Computational Mathematics
 Introduction toalgorithms,2009, MIT Press
 On characterizing the capacity of neural networks usingalgebraic topology,2018, arXiv preprint arXiv:1802
 Analysis of dropout learning regarded asensemble learning,2016, In Alessandro E
 Deep learning with topolo-gical signatures,2017, In Advances in Neural Information Processing Systems (NeurIPS)
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, In Francis Bach and David Blei (eds
 Geometry score: A method for comparing generative ad-versarial networks,2018, In Jennifer Dy and Andreas Krause (eds
 Extracting insights from the shape of complexdata using topology,2013, Scientific Reports
 Methods for interpreting and Un-derstanding deep neural networks,2017, Digital Signal Processing
 Elements of algebraic topology,1996, CRC Press
 Scalable and accUrate deep learning with electronichealth records,2018, npj Digital Medicine
 Exploring and comparing clUsterings of mUltivariate data sets Usingpersistent homology,2016, Computer Graphics Forum
 CliqUe commUnity persistence:A topological visUal analysis approach for complex networks,2018, IEEE Transactions on Visualizationand Computer Graphics
 On the information bottleneck theory of deeplearning,2018, In International Conference on Learning Representations (ICLR)
 Opening the black box of deep neural networks via informa-tion,2017, arXiv preprint arXiv:1703
 Very deep convolutional networks for large-scale imagerecognition,2015, In International Conference on Learning Representations (ICLR)
 Striving forsimplicity: The all convolutional net,2015, In Workshop Track of the International Conference onLearning Representations (ICLR)
 Deep learning and the information bottleneck principle,2015, InIEEE Information Theory Workshop (ITW)
 Fashion-MNIST: A novel image dataset for bench-marking machine learning algorithms,2017, arXiv preprint arXiv:1708
 Visualizing and understanding convolutional networks,2014, InDavid Fleet
