title,year,conference
 Neural module networks,2016, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Generative adversarial nets,2014, In Advances in NeuralInformation Processing Systems
 Ganstrained by a two time-scale update rule converge to a local nash equilibrium,2017, In Advances in NeuralInformation Processing Systems
 Learning hierarchical semanticimage manipulation through structured representations,2018, In Advances in Neural InformationProcessing Systems
 Inferring semantic layout forhierarchical text-to-image synthesis,2018, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition
 Spatial transformer networks,2015, InAdvances in Neural Information Processing Systems
 Clevr: A diagnostic dataset for compositional language and elementary visualreasoning,2017, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Image generation from scene graphs,2018, In Proceedingsof the IEEE Conference on Computer Vision and Pattern Recognition
 Learning to generate images ofoutdoor scenes from attributes and semantic layouts,2016, arXiv preprint arXiv:1612
 Microsoft coco: Common objects in context,2014, In EuropeanConference on Computer Vision
 Generating imagesfrom captions With attention,2016, In International Conference on Learning Representations
 Compositionalgeneration of images,2017, In Advances in Neural Information Processing Systems ViGIL
 Yolov3: An incremental improvement,2018, arXiv preprintarXiv:1804
 LearningWhat and Where to draW,2016, In Advances in Neural Information Processing Systems
 Generating interpretable images with controllable structure,2016, 2016c
 Text2scene: Generating abstract scenes from textualdescriptions,2018, arXiv preprint arXiv:1809
 High-resolution image synthesis and semantic manipulation with conditional gans,2018, In Proceedings ofthe IEEE Conference on Computer Vision and Pattern Recognition
 Deep structured generative models,2018, InICML Workshop on Theoretical Foundations and Applications of Deep Generative Models
 Stackgan: Text to photo-realistic image synthesis with stacked generative adversarialnetworks,2017, In IEEE International Conference on Computer Vision
 Text-to-image syn-thesis via visual-memory creative adversarial network,2018, In Pacific Rim Conference on Multimedia
 Photographic text-to-image synthesis with a hierarchically-nested adversarial network,2018, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
