title,year,conference
 Suggesting accurate methodand class names,2015, In Proceedings of the 2015 10th Joint Meeting on Foundations of SoftwareEngineering
 Learning to represent programswith graphs,2018, In International Conference on Learning Representations
 A general path-based representationfor predicting program properties,2018, In Proceedings of the 39th ACM SIGPLAN Conference onProgramming Language Design and Implementation
 Code2vec: Learning distributed rep-resentations of code,2019, Proc
 Neural machine translation by jointlylearning to align and translate,2014, CoRR
 Graph con-volutional encoders for syntax-aware neural machine translation,2017, In Proceedings of the 2017Conference on Empirical Methods in Natural Language Processing
 PHOG: probabilistic model for code,2016, InProceedings of the 33nd International Conference on Machine Learning
 Program synthesis for character level languagemodeling,2017, In ICLR
 Generativecode modeling with graphs,2019, In International Conference on Learning Representations
 Learning phrase representations using rnn encoder-decoderfor statistical machine translation,2014, arXiv preprint arXiv:1406
 Structured neural summa-rization,2019, In International Conference on Learning Representations
 Understanding the difficulty of training deep feedforward neuralnetworks,2010, In Proceedings of the Thirteenth International Conference on Artificial Intelligenceand Statistics
 Long short-term memory,0899, Neural Comput
 DeeP code comment generation,2018, In Proceedingsof the 26th Conference on Program Comprehension
 Effective approaches to attention-basedneural machine translation,2015, In Proceedings of the 2015 Conference on Empirical Methods inNatural Language Processing
 Bayesian sketch learning for pro-gram synthesis,2017, CoRR
 Abstract syntax networks for code genera-tion and semantic parsing,2017, In Proceedings of the 55th Annual Meeting of the Association forComputational Linguistics (Volume 1: Long Papers)
 A neural attention model for abstractivesentence summarization,2015, In Proceedings of the 2015 Conference on Empirical Methods in NaturalLanguage Processing
 Neural machine translation of rare words withsubword units,2016, In Proceedings of the 54th Annual Meeting of the Association for ComputationalLinguistics (Volume 1: Long Papers)
