title,year,conference
 Learning deterministic finite automaton with a recurrent neuralnetwork,1998, In 4th International Conference on Grammatical Inference
 Approximation of dynamical systems by continuous time recurrentneural networks,1993, Neural Networks
 LSTM recurrent networks learn simple context-free and context-sensitive languages,2001, IEEE Transactions on Neural Networks
 Extracting and learning an unknowngrammar with recurrent neural networks,1991, In Advances in Neural Information Processing Systems
 Learning and extracting finite stateautomata with second-order recurrent neural networks,1992, Neural Computation
 Visualizing and understanding recurrent networks,2015, arXiv preprintarXiv:1506
 Increasing the interpretability of recurrent neural networks usinghidden markov models,2016, arXiv preprint arXiv:1611
 Natural language grammatical inference with recurrent neuralnetworks,2000, IEEE Transactions on Knowledge and Data Engineering
 Grammatical Inference: Learning Syntax from Sentences,1996, Springer
 Extraction of rules from discrete-time recurrent neural networks,1996, NeuralNetworks
 Extracting automata from recurrent neural networks usingqueries and counterexamples,2018, In Proceedings of the 35th International Conference on MachineLearning
