title,year,conference
 Wasserstein GAN,2017, arXiv preprintarXiv:1701
 Deep learning of representations: Looking forward,2013, In International Conferenceon Statistical Language and Speech Processing
 Representation learning: A review and newperspectives,2013, IEEE transactions on pattern analysis and machine intelligence
 Understanding disentangling in β-VAE,2018, arXiv preprintarXiv:1804
 InfoGAN:Interpretable representation learning by information maximizing generative adversarial nets,2016, InAdvances in Neural Information Processing Systems
 Discovering hiddenfactors of variation in deep networks,2014, arXiv preprint arXiv:1412
 Reducing overfit-ting in deep networks by decorrelating representations,2015, arXiv preprint arXiv:1511
 Adversarial feature learning,2016, arXiv preprintarXiv:1605
 Im-proved training of Wasserstein GANs,2017, In Advances in Neural Information Processing Systems
 Beta-VAE: Learning basic visual concepts with aconstrained variational framework,2016, 2016
 Reducing the dimensionality of data with neuralnetworks,2006, science
 Disentanglingfactors of variation by mixing them,2017, arXiv preprint arXiv:1711
 Image-to-image translation withconditional adversarial networks,2017, arXiv preprint
 Disentangling by factorising,2018, arXiv preprint arXiv:1802
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Auto-encoding variational bayes,2014, In ICLR
 Semi-supervisedlearning with deep generative models,2014, In Advances in Neural Information Processing Systems
 Coupled generative adversarial networks,2016, In Advances in NeuralInformation Processing Systems
 Disentangling factors of variation in deep representation using adversarial training,2016, InAdvances in Neural Information Processing Systems
 Readingdigits in natural images with unsupervised feature learning,2011, In NIPS workshop on deep learningand unsupervised feature learning
 Invertible ConditionalGANs for image editing,2016, In NIPS Workshop on Adversarial Training
 Deep visual analogy-making,2015, In Advancesin Neural Information Processing Systems
 Disentangling fac-tors of variation for facial expression recognition,2012, In European Conference on Computer Vision
 Challenges indisentangling independent factors of variation,2017, arXiv preprint arXiv:1711
 Understandingdegeneracies and ambiguities in attribute transfer,2018, In The European Conference on ComputerVision (ECCV)
 Disentangled representation learning GAN for pose-invariantface recognition,2017, In CVPR
 Unpaired image-to-image translationusing cycle-consistent adversarial networks,2017, In IEEE International Conference on ComputerVision
