title,year,conference
 On state estimation in switching environments,1970, IEEE Transactionson Automatic Control
 Tree-Structured Stick Breaking forHierarchical Data,2010, InJ D Lafferty
 Expectation Correction for Smoothed Inference in Switching Linear DynamicalSystems,2006, Technical report
 Bayesian time series models,2011, CambridgeUniversity Press
 Handbook of Markov Chain MonteCarlo,2011, CRC press
 State estimation for discrete systems with switchingparameters,1978, IEEE Transactions on Aerospace and Electronic Systems
 An Introduction to Sequential Monte CarloMethods,2001, In Sequential Monte Carlo Methods in Practice
 Dealing with Reflection Invariance in Bayesian Factor Anal-ysis,0033, Psychometrika
 Nonparametric Bayesian Learningof Switching Linear Dynamical Systems,2009, In D Koller
 Variational Gaussian Process State-SpaceModels,2014, In Z Ghahramani
 Linear dynamical neuralpopulation models through nonlinear embeddings,2016, In Advances in neural information processingsystems
 Measuring the Pricing Error of the Arbitrage Pricing Theory,0893, Reviewof Financial Studies
 Switching state-space models,1996, Technical report
 Decoding the activityof neuronal populations in macaque primary visual cortex,1546, Nature neuroscience
 Dynamical systems in neuroscience,2007, MIT press
 Structured inference networks for nonlinear statespace models,2017, 2017
 Decision Trees and Forests: A Probabilistic Perspective,2016, Technical report
 Switching Kalman filters,1998, Technical report
 LFADS - Latent FactorAnalysis via Dynamical Systems,2016, CoRR
 Variational Latent Gaussian Process for Recovering Single-Trial Dynamics from Population Spike Trains,2017, Neural Computation
 Variational joint filtering,2018, arXiv
 Hierarchical visualization of time-series data using switching lineardynamical systems,2003, IEEE Transactions on Pattern Analysis and Machine Intelligence
