title,year,conference
 Neural machine translation by jointlylearning to align and translate,2015, In International Conference on Learning Representations (ICLR)
 An empirical evaluation of generic convolutionaland recurrent networks for sequence modeling,2018, arXiv:1803
 Quasi-recurrent neural net-works,2017, In International Conference on Learning Representations (ICLR)
 Dilated recurrent neural networks,2017, InNeural Information Processing Systems (NIPS)
 The best of both worlds: Com-bining recent advances in neural machine translation,2018, In Annual Meeting of the Association forComputational Linguistics (ACL)
 On the propertiesof neural machine translation: Encoder-decoder approaches,2014, arXiv:1409
 Language modeling with gatedconvolutional networks,2017, In International Conference on Machine Learning (ICML)
 Long-term recurrent convolutional networks for visualrecognition and description,2015, In Computer Vision and Pattern Recognition (CVPR)
 Finding structure in time,1990, Cognitive Science
 A theoretically grounded application of dropout in recurrentneural networks,2016, In Neural Information Processing Systems (NIPS)
 Convolutionalsequence to sequence learning,2017, In International Conference on Machine Learning (ICML)
 Efficientsoftmax approximation for GPUs,2017, In International Conference on Machine Learning (ICML)
 Improving neural language models with acontinuous cache,2017, In International Conference on Learning Representations (ICLR)
 Supervised Sequence Labelling with Recurrent Neural Networks,2012, Springer
 Generating sequences with recurrent neural networks,2013, arXiv:1308
 Long short-term memory,1997, Neural COmputatiOn
 An empirical exploration of recurrentnetwork architectures,2015, In InternatiOnal COnference On Machine Learning (ICML)
 Neural machine translation in linear time,2016, arXiv:1610
 Deep visual-semantic alignments for generating image descrip-tions,2015, In COmputer VisiOn and Pattern RecOgnitiOn (CVPR)
 ImageNet classification with deep convo-lutional neural networks,2012, In Neural InfOrmatiOn PrOcessing Systems (NIPS)
 Deeply-supervised nets,2015, In AISTATS
 Building a large annotatedcorpus of English: The Penn treebank,1993, COmputatiOnal Linguistics
 On the state of the art of evaluation in neural languagemodels,2018, In InternatiOnal COnference On Learning RepresentatiOns (ICLR)
 Pointer sentinel mixturemodels,2017, In InternatiOnal COnference On Learning RepresentatiOns (ICLR)
 An analysis of neural language modelingat multiple scales,2018, arXiv:1803
 Regularizing and optimizing LSTMlanguage models,2018, In InternatiOnal COnference On Learning RepresentatiOns (ICLR)
 Recurrentneural network based language model,2010, In Interspeech
 When recurrent models don’t need to be recurrent,2018, arXiv:1805
 Fast-slow recurrent neural networks,2017, In NeuralInformation Processing Systems (NIPS)
 Efficient neural architecturesearch via parameters sharing,2018, In International Conference on Machine Learning (ICML)
 Weight normalization: A simple reparameterization to ac-celerate training of deep neural networks,2016, In Neural Information Processing Systems (NIPS)
 Relational recurrent neuralnetworks,2018, In Neural Information Processing Systems (NIPS)
 Generating text with recurrent neural net-works,2011, In International Conference on Machine Learning (ICML)
 Learning longer-term dependenciesin RNNs with auxiliary losses,2018, In International Conference on Machine Learning (ICML)
 WaveNet: A generative modelfor raw audio,2016, arXiv:1609
 Attention is all you need,2017, In Neural Information ProcessingSystems (NIPS)
 Sequence to sequence - video to text,2015, In International Conference on ComputerVision (ICCV)
 Show and tell: A neural imagecaption generator,2015, In Computer Vision and Pattern Recognition (CVPR)
 A primal dual network for low-level vision problems,2017, In GermanConference on Pattern Recognition
 Phonemerecognition using time-delay neural networks,1989, IEEE Transactions on Acoustics
 Backpropagation through time: What it does and how to do it,1990, Proceedings of theIEEE
 Holistically-nested edge detection,2015, In International Conference onComputer Vision (ICCV)
 Recurrenthighway networks,2017, In International Conference on Machine Learning (ICML)
