title,year,conference
 On pixel-wise explanations for non-linear classifier decisions by layer-wiserelevance propagation,2015, PloS one
 Network dissection:Quantifying interpretability of deep visual representations,2017, In CVPR
 Pros and cons of gan evaluation measures,2018, arXiv preprint arXiv:1802
 Neural photo editing withintrospective adversarial networks,2017, In ICLR
 A neural data structurefor novelty detection,2018, Proceedings of the National Academy of Sciences
 Deep generative image models using alaplacian pyramid of adversarial networks,2015, In NIPS
 Density estimation using real nvp,2017, In ICLR
 Adversarial feature learning,2017, In ICLR
 Generating images with PercePtual similarity metrics basedon deeP networks,2016, In NIPS
 Adversarially learned inference,2014, In ICLR
 Cycada: Cycle-consistent adversarial domain adaPtation,2018, In ICML
 Image-to-image translation withconditional adversarial networks,2017, In CVPR
 Tcav: RelativeconcePt imPortance testing with linear concePt activation vectors,2017, arXiv preprint arXiv:1711
 Auto-encoding variational bayes,2014, ICLR
 A unified approach to interpreting model predictions,2017, In NIPS
 Understanding deep image representations by invertingthem,2015, In CVPR
 Deep multi-scale video prediction beyondmean square error,2016, In ICLR
 Spectral normalization forgenerative adversarial networks,2018, In ICLR
 On the importance ofsingle directions for generalization,2018, arXiv preprint arXiv:1803
 The building blocks of interpretability,2018, Distill
 Concept cells: the building blocks of declarative memory functions,2012, NatureReviews Neuroscience
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2016, In ICLR
 Grad-cam: Visual explanations from deep networks via gradient-based localiza-tion,2017, In ICCV
 Deep inside convolutional networks:Visualising image classification models and saliency maps,2014, In ICLR Workshop
 LSTMVis: Atool for visual analysis of hidden state dynamics in recurrent neural networks,2018, IEEE TVCG
 Axiomatic attribution for deep networks,2017, In PMLR
 Video-to-video synthesis,2018, In NIPS
 A-fast-rcnn: Hard positive generation viaadversary for object detection,2017, In CVPR
 Information quality ratio as a novelmetric for mother wavelet selection,2017, Chemometrics and Intelligent Laboratory Systems
 Unified perceptual parsing forscene understanding,2018, In ECCV
 Lsun:Construction of a large-scale image dataset using deep learning with humans in the loop,2015, arXivpreprint arXiv:1506
 From the neuron doctrine to neural networks,2015, Nature reviews neuroscience
 Visualizing and understanding convolutional networks,2014, In ECCV
 Self-attention generativeadversarial networks,2018, arXiv preprint arXiv:1805
 Interpretable convolutional neural networks,2018, InCVPR
 Object detectorsemerge in deep scene cnns,2015, In ICLR
 Sceneparsing through ade20k dataset,2017, In CVPR
 Interpreting deep visual representationsvia network dissection,2018, PAMI
 Interpretable basis decomposition forvisual explanation,2018, In ECCV
 Learningdense correspondence via 3d-guided cycle consistency,2016, In CVPR
 Generative visual manipula-tion on the natural image manifold,2016, In ECCV
 Unpaired image-to-image translationusing cycle-consistent adversarial networks,2017, In ICCV
