title,year,conference
 Expert gate: Lifelong learning witha network of experts,2017, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 On the optimization of a synapticlearning rule,1992, In Optimality in Artificial and Biological Neural Networks
 The cross-entropymethod for optimization,2013, In Handbook of statistics
 Stream-ing variational bayes,2013, In Advances in Neural Information Processing Systems
 Reorganization and plasticity in the adult brain during learning ofmotor skills,2005, Current opinion in neurobiology
 Rl2: Fastreinforcement learning via slow reinforcement learning,2016, arXiv:1611
 Model-agnostic meta-learning for fast adaptationof deep networks,2017, International Conference on Machine Learning (ICML)
 Modulation of grip force with load force during point-to-pointarm movements,1993, Experimental Brain Research
 Bayesian recurrent neural networks,2017, arXivpreprint arXiv:1704
 Overcom-ing catastrophic forgetting in neural networks,2017, Proceedings of the National Academy of Sciences
 Dynamic evaluation of neuralsequence models,2017, CoRR
 Gradient episodic memory for continual learning,2017, In Advances in NeuralInformation Processing Systems
 Learning to adapt: Meta-learning for model-based control,2018, arXiv preprintarXiv:1803
 Meta-neural networks that learn by learning,1992, In InternationalJoint Conference on Neural Netowrks (IJCNN)
 A survey of numerical methods for optimal control,2009, In Advances in the AstronauticalSciences
 Optimization as a model for few-shot learning,2017, In InternationalConference on Learning Representations (ICLR)
 icarl: Incremental clas-sifier and representation learning,2017, In Proc
 Online representation learning in recurrent neural language models,2015, CoRR
 Online deep learning: Learning deepneural networks on the fly,2017, arXiv preprint arXiv:1711
 Meta-learning with memory-augmented neural networks,2016, In International Conference on MachineLearning (ICML)
 Lifelong learning algorithms,1998, In Learning to learn
 Model predictive path integral controlusing covariance variable importance sampling,2015, CoRR
