title,year,conference
 Mixed integer programming: Analyzing 12 years ofprogress,2013, In Facets ofcombinatorial optimization
 Strong con-vex relaxations and mixed-integer programming formulations for trained neural networks,2018, arXivpreprint arXiv:1811
 How auto-encoders could provide credit assignment in deep networks via targetpropagation,2014, arXiv preprint arXiv:1407
 Sparse high-dimensional regression: Exact scalable algo-rithms and phase transitions,2017, arXiv preprint arXiv:1709
 Sparse classification and phase transitions:A discrete optimization perspective,2017, arXiv preprint arXiv:1710
 Towards evaluating the robustness of neural networks,2017, InSecurity and Privacy (SP)
 Learning combinatorialoptimization algorithms over graphs,2017, In Advances in Neural Information Processing Systems(NIPS)
 Deep learning as a mixed convex-combinatorial optimiza-tion problem,2017, arXiv preprint arXiv:1710
 Explaining and harnessing adversarialexamples,2014, arXiv preprint arXiv:1412
 Learning to search in branch-and-bound algorithms,2014, InNIPS
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, arXiv preprint arXiv:1502
 Learn-ing to branch in mixed integer programming,2016, In AAAI
 Provable defenses against adversarial examples via the convex outeradversarial polytope,2017, arXiv preprint arXiv:1711
 Adversarial machine learning at scale,2016, arXivpreprint arXiv:1611
 Learning process in an asymmetric threshold network,1986, In Disordered systems andbiological organization
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 Embedded binarized neural networks,2017, InProceedings of the 2017 International Conference on Embedded Wireless Systems and Networks
 Deepfool: a simple andaccurate method to fool deep neural networks,2016, In Proceedings of 2016 IEEE Conference onComputer Vision and Pattern Recognition (CVPR)
 Xnor-net: Imagenetclassification using binary convolutional neural networks,2016, In European Conference on ComputerVision
 Guiding combinatorial optimizationwith uct,2012, In International Conference on Integration of Artificial Intelligence (AI) and OperationsResearch (OR) Techniques in Constraint Programming
 Certifiable distributional robustness withprincipled adversarial training,2017, arXiv preprint arXiv:1710
 Multivariate stochastic approximation using a simultaneous perturbation gradi-ent approximation,1992, IEEE transactions on automatic control
 Intriguing properties of neural networks,2013, arXiv preprint arXiv:1312
 Evaluating robustness of neural networks with mixedinteger programming,2017, arXiv preprint arXiv:1711
