title,year,conference
 Bagging predictors,1996, Machine learning
 Verification of forecasts expressed in terms of probability,1950, Monthey Weather Review
 On optimum recognition error and reject tradeoff,1970, IEEE Transactions on information theory
 A methodfor improving classification reliability of multilayer perceptrons,1995, IEEE Transactions on NeuralNetworks
 Imagenet: A large-scalehierarchical image database,2009, In Computer Vision and Pattern Recognition
 Support vector machines with embedded reject option,2002, In Patternrecognition with support vector machines
 Dropout as a bayesian approximation: Representing modeluncertainty in deep learning,2016, In international conference on machine learning
 Selective classification for deep neural networks,2017, In Advancesin neural information processing systems
 On calibration of modern neuralnetworks,2017, arXiv preprint arXiv:1706
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Distilling the knowledge in a neural network,2015, arXivpreprint arXiv:1503
 Learning multiple layers of features from tiny images,2009, 2009
 Simple and scalable predictiveuncertainty estimation using deep ensembles,2017, In Advances in Neural Information ProcessingSystems
 Very deep convolutional neural network based image classificationusing small training sample size,2015, In Pattern Recognition (ACPR)
 Early stopping without avalidation set,2017, arXiv preprint arXiv:1703
 Distance-based confidence score for neural networkclassifiers,2017, arXiv preprint arXiv:1709
 Readingdigits in natural images with unsupervised feature learning,2011, In NIPS workshop on deep learningand unsupervised feature learning
 Probabilistic outputs for support vector machines and comparisons to regularizedlikelihood methods,1999, Advances in large margin classifiers
 Very deep convolutional networks for large-scale imagerecognition,2014, arXiv preprint arXiv:1409
 Agnostic selective classification,2011, In Advances in neural informationprocessing systems
 Transforming classifier scores into accurate multiclass probabil-ity estimates,2002, In Proceedings of the eighth ACM SIGKDD international conference on Knowledgediscovery and data mining
