title,year,conference
 Wasserstein GAN,2017, In arXivpreprint:1701
 Learning EfficientObject Detection Models with Knowledge Distillation,2017, In NIPS
 Sinkhorn distances: Lightspeed computation of optimal transport,2016, In NIPS
 ImageNet: A Large-Scale HierarchicalImage Database,2009, In CVPR
 DSSD : Decon-volutional Single Shot Detector,2017, In arXiv preprint:1701
 Fast R-CNN,2015, In ICCV
 Mask R-CNN,2017, In ICCV
 Learning multiple layers of features from tiny images,2012, InTechnical Report
 Neural network encap-sulation,2018, In ECCV
 Focal loss for dense objectdetection,2015, In ICCV
 Sphereface: Deephypersphere embedding for face recognition,2017, In CVPR
 Rethinking feature discrimination and polymerizationfor large-scale recognition,2017, In NIPS Deep Learning Workshop
 Optimal transport for deep joint transfer learning,2014, InarXiv preprint:1709
 Computational optimal transport,2018, In arXiv preprint:1803
 Improving GANs using optimaltransport,2018, In ICLR
 Beyond skip con-nections: Top-down modulation for object detection,2015, In arXiv preprint:1612
 Microsoft COCO: Common Objectsin Context,2015, In arXiv preprint:1405
 A discriminative feature learning approachfor deep face recognition,2016, In ECCV
 Thresh-old for RPN is set to 0,2016,7 while the value is 0
