title,year,conference
 Learning end-to-end goal-oriented dialog,2017, InProceedings of the International Conference on Learning Representations (ICLR)
 Evaluating prerequisite qualities for learning end-to-end dialog sys-tems,2016, In Proceedings of the International Conference on Learning Representations (ICLR)
 A knowledge-grounded neural conversation model,2018, In Proceedings of theConference on Association for the Advancement of Artificial Intelligence (AAAI)
 Efficient Natural Language Response Sugges-tion for Smart Reply,2017, arXiv preprint arXiv:1705
 Training millionsof personalized dialogue agents,2018, In Proceedings of the 2018 Conference on Empirical Methods inNatural Language Processing
 Neural machine translation of rare words withsubword units,2016, In Proceedings of the 54th Annual Meeting of the Association for ComputationalLinguistics
 Generative deep neural net-works for dialogue: A short review,2016, arXiv preprint arXiv:1611
 A neural network approach to context-sensitivegeneration of conversational responses,2015, arXiv preprint arXiv:1506
 End-to-end memory networks,2015, In Advancesin Neural Information Processing Systems
 Diverse beam search: Decoding diverse solutions fromneural sequence models,2016, arXiv preprint arXiv:1610
 A neural conversational model,2015, In Proceedings of the 31st InternationalConference on Machine Learning
 A network-based end-to-end trainable task-oriented dialoguesystem,2016, arXiv preprint arXiv:1604
