title,year,conference
 Wasserstein GAN,2017, arXiv preprintarXiv:1701
 Do GANs actually learn the distribution? do ganslearn the distribution? some theory and empirics,2017, ICLR
 Optimizing the latent spaceof generative networks,2017, arXiv preprint arXiv:1707
 Pros and cons of GAN evaluation measures,2018, arXiv preprint arXiv:1802
 Max-boost-GAN: Max operation to boost generative ability of gen-erative adversarial networks,2017, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Adversarially learned inference,2016, arXiv preprint arXiv:1606
 Understanding GANs: the LQG setting,2017, arXivpreprint arXiv:1710
 Flow-GAN: Combining maximum likelihood andadversarial learning in generative models,2018, In AAAI Conference on Artificial Intelligence
 Im-proved training of Wasserstein GANs,2017, In Advances in Neural Information Processing Systems
 Stacked generativeadversarial networks,2017, In Computer Vision and Patter Recognition
 Revisiting classifier two-sample tests,2016, arXiv preprintarXiv:1610
 Procrustes metrics on covariance oper-ators and optimal transportation of gaussian processes,2018, arXiv preprint arXiv:1801
 Integral probability metrics and their generating classes of functions,1997, Advances inApplied Probability
 Conditional image synthesis with auxil-iary classifier gans,2016, arXiv preprint arXiv:1610
 Wasserstein continuity of entropy and outer bounds for interfer-ence channels,2016, IEEE Transactions on Information Theory
 Learning representations by back-propagating errors,1986, nature
 A classification-based perspective onGAN distributions,2017, arXiv preprint arXiv:1711
 Perturbation bounds for matrix square roots and pythagorean sums,1992, Linearalgebra and its applications
 AdaGAN: Boosting generative models,2017, arXiv preprint arXiv:1701
 Probability in high dimension,2014, Technical report
 Introduction to the non-asymptotic analysis of random matrices,2010, arXiv preprintarXiv:1011
 Sharp asymptotic and finite-sample rates of convergence of em-pirical measures in Wasserstein distance,2017, arXiv preprint arXiv:1707
 Empirical evaluation of rectified activations inconvolutional network,2015, arXiv preprint arXiv:1505
 AttnGAN: Fine-grained text to image generation with attentional generative adversarial net-works,2017, arXiv preprint
 On the discrimination-generalization tradeoff in GANs,2017, arXiv preprint arXiv:1711
 For eq,2019, (26)
 Recalling the proof of Theorem E,2019,9
	□F Experiments on Synthetic 2d Datasets: Unit Circle1,1000,00
