title,year,conference
 WaveNet: A generative model for raw audio,2016, arXiv preprint arXiv:1609
 Generalized end-to-end loss for speaker verification,2018, InInternational Conference on Acoustics
 Deep speaker feature learning for text-independent speakerverification,2017, In INTERSPEECH
 Meta-learning with memory-augmentedneural networks,2016, In International Conference on Machine Learning
 Attentive recurrent comparators,2017, In International Conference on MachineLearning
 Matching networks for one shot learning,2016, In Advances inNeural Information Processing Systems
 Observe and look further: Achieving consistent performance on atari,2018, arXiv preprintarXiv:1805
 Playing hard exploration games bywatching youtube,2018, arXiv preprint arXiv:1805
 The formation of learning sets,1949, Psychological review
 Learningto learn without gradient descent by gradient descent,2017, In International Conference on Machine Learning
 Optimization as a model for few-shot learning,2016, International Conference on LearningRepresentations
 Model-agnostic meta-learning for fast adaptation of deep networks,2017, InInternational Conference on Machine Learning
 One-shot visual imitation learning via meta-learning,2017, InConference on Robot Learning
 One-shot imitation from observing humansvia domain-adaptive meta-learning,2018, In International Conference on Learning Representations Workshop
 Fast adaptation in generative models with generative matching networks,2017, InInternational Conference on Learning Representations Workshop
 Variational memory addressing in generative models,2017, InAdvances in Neural Information Processing Systems
 One-shot generalization in deep generativemodels,2016, In International Conference on Machine Learning
 DRAW: A recurrent neural network for imagegeneration,2015, In International Conference on Machine Learning
 Few-shotautoregressive density estimation: Towards learning to learn distributions,2018, In International Conference onLearning Representations
 Pixel recurrent neural networks,2016, In InternationalConference on Machine Learning
 Online learning withgated linear networks,2017, arXiv preprint arXiv:1712
 Towards end-to-end prosody transfer for expressive speech synthesis with tacotron,2018, arXiv preprintarXiv:1803
 Tacotron: Towards end-to-end speech synthesis,2017, InINTERSPEECH
 Deep voice 2: Multi-speaker neural text-to-speech,2017, In Advances in Neural Information Processing Systems
 Deep voice: Real-time neural text-to-speech,2017, In International Conference on Machine Learning
 Char2Wav: End-to-endspeech synthesis,2017, In International Conference on Learning Representations Workshop
 Voiceloop: Voice fitting and synthesis via a phonologicalloop,2018, In International Conference on Learning Representations
 World: a vocoder-based high-quality speech synthesis system forreal-time applications,2016, IEICE transactions on Information and Systems
 Transferlearning from speaker verification to multispeaker text-to-speech synthesis,2018, arXiv preprint arXiv:1806
 Neural voice cloning With a feW samples,2018, arXiv preprintarXiv:1802
 Librispeech: an asr corpus based on public domain audiobooks,2015, In International Conference on Acoustics
