title,year,conference
 Neural module networks,2016, InIEEE Conference on Computer Vision and Pattern Recognition
 Modular multitask reinforcement learning withpolicy sketches,2017, In International Conference on Machine Learning
 The option-critic architecture,2017, In Association forthe Advancement of Artificial Intelligence
 Self-consistent trajectory autoencoder: Hierarchical reinforcement learning with trajec-tory embeddings,2018, In International Conference on Machine Learning
 Probabilistic inference fordetermining options in reinforcement learning,2016, Machine Learning
 Feature controlas intrinsic motivation for hierarchical reinforcement learning,2017, In IEEE Transactions on NeuralNetworks and Learning Systems
 Meta learning sharedhierarchies,2018, In International Conference on Learning Representations
 Divide andconquer reinforcement learning,2018, In International Conference on Learning Representations
 Deep reinforcement learning for dexterous manipulation with concept net-works,2017, arXiv preprint arXiv: 1709
 Generative adversarial imitation learning,2016, In Advances in NeuralInformation Processing Systems
 Adam: A method for stochastic optimization,2015, In InternationalConference on Learning Representations
 Movement templates for learning of hitting and batting,2010, In International Conference onRobotics and Automation
 Hierarchical deepreinforcement learning: Integrating temporal abstraction and intrinsic motivation,2016, In Advances inNeural Information Processing Systems
 Hierarchical actor-critic,2017, arXiv preprintarXiv:1712
 Universal agent for disentangling environmentsand tasks,2018, In International Conference on Learning Representations
 Policy invariance under reward transformations:Theory and application to reward shaping,1999, In International Conference on Machine Learning
 Zero-shot task generalization withmulti-task deep reinforcement learning,2017, In International Conference on Machine Learning
 Learning and generalizationof motor skills by learning from demonstration,2009, In International Conference on Robotics andAutomation
 Curiosity-driven explorationby self-supervised prediction,2017, In International Conference on Machine Learning
 Deeploco: Dynamiclocomotion skills using hierarchical deep reinforcement learning,2017, ACM Transactions on Graphics
 Learning by playing solvingsparse reward tasks from scratch,2018, In International Conference on Machine Learning
 Towards compositional learning with dynamic neural networks,1990, 1990
 Trust regionpolicy optimization,2015, In International Conference on Machine Learning
 Proximal policyoptimization algorithms,2017, arXiv preprint arXiv:1707
 Hierarchical and interpretable skill acquisitionin multi-task reinforcement learning,2018, In International Conference on Learning Representations
 Temporal credit assignment in reinforcement learning,1984, PhD thesis
 Feudal networks for hierarchical reinforcement learning,2017, InInternational Conference on Machine Learning
 Neuraltask programming: Learning to generalize across hierarchical tasks,2017, In International Conferenceon Robotics and Automation
