title,year,conference
 Parametric correspondenceand chamfer matching: Two new techniques for image matching,1977, In IJCAI
 Visual perception by computer,1971, Invited talk at IEEE Conf
 Programming with adifferentiable forth interpreter,2017, In ICML
 Making neural programming architectures generalizevia recursion,2017, In ICLR
 Probabilisticreasoning for assembly-based 3d modeling,2011, ACM TOG
 Z3: An efficient smt solver,2017, In TACAS
 Mirror-image sensitivity and invariance in object and scene processing pathways,2011, J
 Unsupervised learning by programsynthesis,2015, In NeurIPS
 Learning to infergraphics programs from hand-drawn imatges,2018, In NeurIPS
 Synthesizingprograms for images using reinforced adversarial learning,2018, In ICML
 Inferring and executing programs for visual reasoning,2017, In ICCV
 Adam: A method for stochastic optimization,2015, In ICLR
 Principles of Gestalt psychology,2013, Routledge
 Picture: Aprobabilistic programming language for scene perception,2015, In CVPR
 Deep convolutionalinverse graphics network,2017, In NeurIPS
 Physical primitive decompo-sition,2018, In ECCV
 Procedural modeling of a building from asingle image,2018, CGF
 Neuro-symbolic program synthesis,2017, In ICLR
 Pointnet++: Deep hierarchical feature learningon point sets in a metric space,2017, In NeurIPS
 Neural programmer-interpreters,2016, In ICLR
 Neurally-guided proceduralmodels: Amortized inference for procedural graphics programs using neural networks,2016, In NeurIPS
 Machine perception of three-dimensional solids,1963, PhD thesis
 The earth mover’s distance as a metric forimage retrieval,2000, IJCV
 Retrieval on parametric shape collections,2017, ACM TOG
 Csgnet:Neural shape parser for constructive solid geometry,2018, In CVPR
 Inverse proceduralmodeling by automatic generation of l-systems,2010, CGF
 Neural program synthesisfrom diverse demonstration videos,2018, In ICML
 Pix3d: Dataset and methods for single-image 3d shapemodeling,2018, In CVPR
 Learning shapeabstractions by assembling volumetric primitives,2017, In CVPR
 Part-based modelling of compound scenes from images,2015, In CVPR
 Pixel2mesh:Generating 3d mesh models from single rgb images,2018, In ECCV
 3d shapenets: A deep representation for volumetric shapes,2015, In CVPR
 Scores: Shape composi-tion with recursive substructure priors,2018, In SIGGRAPH Asia
 3d-prnn: Generatingshape primitives with recurrent neural networks,2017, In ICCV
